date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,state
2021-07-10,Alabama,3414916.0,4884130.0,1988956.0,33.24,69.65,1629745.0,40.56,99.61,6325.0,4703.0,959.0,0.6990000000000001,AL
2021-07-10,Alaska,681805.0,840265.0,368156.0,44.44,93.2,325118.0,50.33,114.86,1266.0,1874.0,2562.0,0.8109999999999999,AK
2021-07-10,Arizona,6870625.0,8243660.0,3728161.0,43.91,94.39,3196388.0,51.22,113.26,13804.0,10797.0,1483.0,0.833,AZ
2021-07-10,Arkansas,2280113.0,2877040.0,1292845.0,34.83,75.56,1051172.0,42.84,95.34,5305.0,3951.0,1309.0,0.7929999999999999,AR
2021-07-10,California,43507479.0,49668485.0,24679946.0,50.93,110.11,20124209.0,62.46,125.7,74111.0,75909.0,1921.0,0.8759999999999999,CA
2021-07-10,Colorado,6291681.0,7100165.0,3379369.0,52.86,109.25,3043908.0,58.68,123.29,25690.0,8971.0,1558.0,0.8859999999999999,CO
2021-07-10,Connecticut,4466279.0,4783225.0,2418107.0,61.61,125.27,2196584.0,67.82,134.16,6542.0,6230.0,1747.0,0.934,CT
2021-07-10,Delaware,1056467.0,1297395.0,573920.0,51.03,108.49,496904.0,58.94,133.24,2244.0,1481.0,1521.0,0.8140000000000001,DE
2021-07-10,District of Columbia,878468.0,1072415.0,438672.0,53.31,124.47,376261.0,62.16,151.95,1394.0,1073.0,1520.0,0.8190000000000001,DC
2021-07-10,Florida,21483877.0,25227275.0,11740921.0,46.86,100.03,10064763.0,54.67,117.46,45965.0,38827.0,1808.0,0.852,FL
2021-07-10,Georgia,8550988.0,11322705.0,4674935.0,37.13,80.54,3942675.0,44.03,106.64,733.0,9480.0,893.0,0.755,GA
2021-07-10,Hawaii,1694930.0,1956710.0,996016.0,52.53,119.71,743689.0,70.35,138.2,2193.0,1233.0,871.0,0.866,HI
2021-07-10,Idaho,1341140.0,1705650.0,715023.0,36.58,75.05,653630.0,40.01,95.44,1762.0,1677.0,938.0,0.7859999999999999,ID
2021-07-10,Illinois,13182552.0,14861055.0,7632442.0,47.03,104.03,5959419.0,60.23,117.28,26532.0,17726.0,1399.0,0.887,IL
2021-07-10,Indiana,5887413.0,6777740.0,3078524.0,43.0,87.45,2895106.0,45.73,100.68,9507.0,7302.0,1085.0,0.8690000000000001,IN
2021-07-10,Iowa,3069436.0,3506895.0,1636162.0,48.65,97.29,1534863.0,51.86,111.15,3869.0,2984.0,946.0,0.875,IA
2021-07-10,Kansas,2521185.0,3122795.0,1450126.0,42.57,86.54,1240084.0,49.78,107.19,3799.0,2936.0,1008.0,0.807,KS
2021-07-10,Kentucky,4055035.0,4530165.0,2238997.0,44.27,90.76,1977640.0,50.12,101.4,7456.0,5327.0,1192.0,0.895,KY
2021-07-10,Louisiana,3439895.0,4116480.0,1818912.0,35.71,74.0,1660099.0,39.13,88.55,6852.0,5102.0,1097.0,0.836,LA
2021-07-10,Maine,1633699.0,1874270.0,901386.0,62.4,121.54,838767.0,67.06,139.43,2049.0,1527.0,1136.0,0.872,ME
2021-07-10,Maryland,6990202.0,8580840.0,3793956.0,57.1,115.62,3451899.0,62.75,141.93,12218.0,9932.0,1643.0,0.815,MD
2021-07-10,Massachusetts,8945400.0,9829100.0,4900571.0,62.51,129.78,4308593.0,71.1,142.61,10192.0,8685.0,1260.0,0.91,MA
