store_name,street,city,state,zip,final_zip_pred
Trader Joe's Sunnyvale (68),316 West El Camino Real,Sunnyvale,CA,94087,0.0470502706890842
Trader Joe's Aliso Viejo (195),26541 Aliso Creek Rd,Aliso Viejo,CA,92656,0.0692187613040097
Trader Joe's Brookline (501),1317 Beacon St,Brookline,MA,02446,0.0322065313702043
Trader Joe's Park Ridge (698),190 N NW Highway,Park Ridge,IL,60068,0.0708671883656233
Trader Joe's Scottsdale (94),6202 N Scottsdale Rd,Scottsdale,AZ,85253,0.1480782308588405
Trader Joe's Annapolis (650),160 F Jennifer Rd,Annapolis,MD,21401,0.1253924092849092
Trader Joe's San Antonio (451),350 East Basse Road,San Antonio,TX,78209,0.1033838236607299
Trader Joe's Chicago (688),3745 N Lincoln Ave,Chicago,IL,60613,0.0405906373958685
Trader Joe's Queen Creek (286),21186 S. Ellsworth Loop Rd,Queen Creek,AZ,85142,0.3410066791355816
Trader Joe's Newport Beach (125),8086 E Pacific Coast Hwy,Newport Beach,CA,92657,0.0673912586740729
Trader Joe's Williamsburg (657),5000 Settlers Market Blvd,Williamsburg,VA,23188,0.0660911246100614
Trader Joe's Pleasanton (66),3903 Santa Rita Road,Pleasanton,CA,94588,0.0549156973661414
Trader Joe's Media (637),12 E State St,Media,PA,19063,0.0759294236163389
Trader Joe's Bloomington (724),4270 W 78th St,Bloomington,MN,55435,0.0438768715284281
Trader Joe's Hanover (513),1775 Washington St,Hanover,MA,02339,0.0870441462970584
Trader Joe's Delray Beach (771),1851 S Federal Highway #500,Delray Beach,FL,33483,0.1047841910211872
Trader Joe's Costa Mesa (35),640 W 17th St,Costa Mesa,CA,92627,0.0775322374224249
Trader Joe's Mission Viejo (126),25410 Marguerite Pkwy,Mission Viejo,CA,92692,0.0854195348036681
Trader Joe's Orland Park (686),14924 S La Grange Rd,Orland Park,IL,60462,0.1287967213835456
Trader Joe's Danbury (525),113 Mill Plain Rd,Danbury,CT,06811,0.1060823164785123
Trader Joe's Beaverton (141),11753 SW Beaverton Hillsdale Hwy,Beaverton,OR,97005,0.0898430213003433
Trader Joe's Lake Oswego (142),15391 SW Bangy Rd,Lake Oswego,OR,97035,0.1060736204150903
Trader Joe's The Woodlands (428),10868 Kuykendahl Road,The Woodlands,TX,77381,0.1776232629987372
Trader Joe's Fort Myers (784),4983 S. Cleveland Avenue,Fort Myers,FL,33907,0.2396790281386746
Trader Joe's Redondo Beach (38),1761 S Elena Ave,Redondo Bch.,CA,90277,0.0584306428968965
Trader Joe's Ashburn (619),44755 Brimfield Dr,Ashburn,VA,20147,0.0635460744379808
Trader Joe's Chico (199),801 East Ave,Chico,CA,95926,0.1752789349142779
Trader Joe's Belle Meade (739),90 White Bridge Rd,Nashville,TN,37205,0.0430715553875569
Trader Joe's Royal Oak (674),27880 Woodward Ave,Royal Oak,MI,48067,0.0517661417214288
Trader Joe's Atlanta (730),931 Monroe Dr,Atlanta,GA,30308,0.0905718115797296
Trader Joe's Modesto (9),3250 Dale Road,Modesto,CA,95356,0.1494790300301072
Trader Joe's Pinole (230),2742 Pinole Valley Rd,Pinole,CA,94564,0.1101405966722783
Trader Joe's Asheville (740),120 Merrimon Ave,Asheville,NC,28801,0.1020375986643483
Trader Joe's Larchmont (532),1260 Boston Post Rd,Larchmont,NY,10538,0.0370009101305942
Trader Joe's Issaquah (138),975 NW Gilman Blvd,Issaquah,WA,98027,0.0624519773268725
Trader Joe's Scripps Ranch (221),9850 Hibert St,San Diego,CA,92131,0.0705135098041805
Trader Joe's Upper West Side (545),670 Columbus Ave,New York,NY,10025,0.0565890989137601
Trader Joe's W Des Moines (721),6305 Mills Civic Pkwy,West Des Moines,IA,50266,0.1227820093892956
Trader Joe's Bethesda (645),6831 Wisconsin Ave,Bethesda,MD,20815,0.0156593646980448
Trader Joe's Leawood (723),4201 W 119th St,Leawood,KS,66209,0.0636448912387516
Trader Joe's Newbury Park (243),125 N Reino Road,Thousand Oaks,CA,91320,0.0909707645473735
Trader Joe's San Diego - Hillcrest (26),1090 University Avenue,San Diego,CA,92103,0.0678570493771276
Trader Joe's Morgan Hill (202),17035 Laurel Rd,Morgan Hill,CA,95037,0.0621858882132975
Trader Joe's Montrose (52),2462 Honolulu Ave,Montrose,CA,91020,0.1000802008967129
Trader Joe's Arlington (505),1427 Massachusetts Ave,Arlington,MA,02476,0.0249407026728476
Trader Joe's Seattle - Queen Anne Hill (135),1916 Queen Anne Ave N,Seattle,WA,98109,0.040864739973429
Trader Joe's Miami Beach (779),1683 West Ave,Miami Beach,FL,33139,0.1158659684727395
Trader Joe's Needham Heights (504),958 Highland Ave,Needham,MA,02494,0.0222090940637818
Trader Joe's Pasadena (51),610 S Arroyo Pkwy,Pasadena,CA,91105,0.0355024158782792
Trader Joe's Wayne (632),171 E Swedesford Rd,Wayne,PA,19087,0.0683038895775926
Trader Joe's Germantown (738),2130 Exeter Rd.,Germantown,TN,38138,0.0867254109191903
Trader Joe's Shoreline (270),1201 N 175th St,Shoreline,WA,98133,0.0586219285953501
Trader Joe's Campbell (73),1875 Bascom Ave,Campbell,CA,95008,0.0758318947365934
Trader Joe's Palm Desert (3),44250 Town Center Way,Palm Desert,CA,92260,0.0659793533835304
Trader Joe's Darien (522),436 Boston Post Rd,Darien,CT,06820,0.0516519084490148
Trader Joe's Fresno (8),8478 N. Friant Road,Fresno,CA,93720,0.17729134736135002
Trader Joe's Huntington Harbour (244),16821 Algonquin St,Huntington Beach,CA,92649,0.1009828068712704
Trader Joe's Buckhead (735),3183 Peachtree Rd,Atlanta,GA,30305,0.0863997449762277
Trader Joe's Rochester Hills (668),3044 Walton Blvd,Rochester Hills,MI,48309,0.0839208639285103
Trader Joe's Nashua (507),262 Daniel Webster HWY,Nashua,NH,03060,0.1574464090103215
Trader Joe's Hyannis (514),655 Iyannough Road Rt 132,Hyannis,MA,02601,0.1657841611834037
Trader Joe's Wilmington (747),1437 S College Rd,Wilmington,NC,28403,0.1239302792517296
Trader Joe's Studio City (122),11976 Ventura Blvd,Studio City,CA,91604,0.0544957472598414
Trader Joe's Silverdale (158),9991 Mickelberry Rd,Silverdale,WA,98383,0.0842270203466416
Trader Joe's San Francisco - Pacific Place (225),10 4th Street,San Francisco,CA,94103,0.0650419953871938
Trader Joe's Hastings Ranch (171),467 N Rosemead Blvd,Pasadena,CA,91107,0.0659289084891805
Trader Joe's Dallas North (401),7939 Walnut Hill Lane,Dallas,TX,75230,0.0910553061562697
Trader Joe's Denver Wine (310),790 N Colorado Blvd,Denver,CO,80206,0.0518512480957259
Trader Joe's Chicago - Diversey Pkwy (703),667 W Diversey Pkwy,Chicago,IL,60614,0.0530017299405959
Trader Joe's Freehold (590),4331 Route 9 Unit 3,Freehold,NJ,07728,0.1644686567987345
Trader Joe's Lafayette (115),3649 Mt Diablo Blvd,Lafayette,CA,94549,0.0638826403202233
Trader Joe's Petaluma (107),169 N McDowell Blvd,Petaluma,CA,94954,0.0666079090153054
Trader Joe's Meridian (361),2986 N. Eagle RD.,Meridian,ID,83646,0.1445046737064602
Trader Joe's Austin - Rollingwood (453),2805 Bee Cave Rd,Austin,TX,78746,0.0648048740174686
Trader Joe's Madison (712),1810 Monroe St,Madison,WI,53711,0.0539933220653126
Trader Joe's Princeton (607),3528 Brunswick Pike,Princeton,NJ,08540,0.0331820329441309
Trader Joe's Louisville Grocery (628),4600 Shelbyville Rd Ste 111,Louisville,KY,40207,0.1044454381824438
Trader Joe's Chicago - Lincoln Park (691),1840 N Clybourn Ave,Chicago,IL,60614,0.0530017299405959
Trader Joe's Pittsburgh (638),6343 Penn Ave,Pittsburgh,PA,15206,0.0838124196860163
Trader Joe's Wayne (603),910 Hamburg Turnpike,Wayne,NJ,07470,0.0761133107957142
Trader Joe's Brea (11),2500 E Imperial Hwy,Brea,CA,92821,0.09380497775796401
Trader Joe's Kansas City (720),8600 Ward Pkwy,Kansas City,MO,64114,0.0845738309255517
Trader Joe's Kalamazoo (708),5099 Century Ave,Kalamazoo,MI,49006,0.0769509344874124
Trader Joe's Camarillo (114),363 Carmen Dr,Camarillo,CA,93010,0.1629858741543572
Trader Joe's Fremont (77),39324 Argonaut Way,Fremont,CA,94538,0.0926660837610253
Trader Joe's Jacksonville Beach (760),4180 S 3rd St,Jacksonville Beach,FL,32250,0.2657451215690001
Trader Joe's Mall of Orange (46),2114 N Tustin St,Orange,CA,92865,0.113203907835408
Trader Joe's Long Island City (565),2243 Jackson Ave,Long Island City,NY,11101,0.0738749386644311
Trader Joe's Fairfield (523),2258 Black Rock Turnpike,Fairfield,CT,06825,0.0498057812744926
Trader Joe's West Newton (509),1121 Washington St,West Newton,MA,02465,0.0322483908827181
Trader Joe's Glen Ellyn (680),680 Roosevelt Rd,Glen Ellyn,IL,60137,0.0743742875266302
Trader Joe's Washington - 25th St (653),1101 25th Street NW,Washington,DC,20037,0.0427242356487402
Trader Joe's Brooklyn (558),130 Court St,Brooklyn,NY,11201,0.0579064564045284
Trader Joe's Claremont (214),475 W Foothill Blvd,Claremont,CA,91711,0.0531171800023053
Trader Joe's Fort Worth (404),2701 S Hulen St,Fort Worth,TX,76109,0.1506802562988636
Trader Joe's Concord (83),785 Oak Grove Rd,Concord,CA,94518,0.0598591690128658
Trader Joe's Monrovia (112),604 W Huntington Dr,Monrovia,CA,91016,0.0536467807884242
Trader Joe's Metairie (755),2949 Veterans Blvd,Metairie,LA,70002,0.1305497838916152
Trader Joe's Ventura - Midtown (218),103 S Mills Rd,Ventura,CA,93003,0.1247746212370379
Trader Joe's Yorba Linda (176),19655 Yorba Linda Blvd,Yorba Linda,CA,92886,0.096543602482717
Trader Joe's San Mateo - Grant St (67),1820-22 S Grant Street,San Mateo,CA,94402,0.0304551636121397
Trader Joe's San Francisco - North Beach (19),401 Bay St,San Francisco,CA,94133,0.0442456688585026
Trader Joe's Novato (198),7514 Redwood Blvd,Novato,CA,94945,0.0518848999569023
Trader Joe's Millbrae (170),765 Broadway,Millbrae,CA,94030,0.0340808513366282
Trader Joe's Cambridge (502),748 Memorial Dr,Cambridge,MA,02139,0.0270943581757472
Trader Joe's Gilbert (SanTan) (285),1779 E. Williams Field Rd.,Gilbert,AZ,85295,0.1878461771735667
Trader Joe's Henderson (97),2716 N Green Valley Pkwy,Henderson,NV,89014,0.2000967105607284
Trader Joe's Sacramento (175),5000 Folsom Blvd,Sacramento,CA,95819,0.0790730760768282
Trader Joe's Brentwood (692),48 Brentwood Promenade Court,Brentwood,MO,63144,0.0388147323548482
Trader Joe's San Antonio - Sonterra Village (455),403 N Loop 1604 W,San Antonio,TX,78232,0.1047469421279571
Trader Joe's Lynnwood (129),19715 Highway 99,Lynnwood,WA,98036,0.0852961390966064
Trader Joe's Maple Grove (713),12105 Elm Creek Blvd N,Maple Grove,MN,55369,0.0911298482832963
Trader Joe's Winston Salem (749),252 South Stratford Road,Winston Salem,NC,27103,0.2121306160868265
Trader Joe's Fairfield (101),1350 Gateway Blvd,Fairfield,CA,94533,0.1559130858388324
Trader Joe's Peabody (516),300 Andover St,Peabody,MA,01960,0.140138465555948
Trader Joe's Bellevue (131),15563 NE 24th St,Bellevue,WA,98007,0.11219913066006801
Trader Joe's Sherman Oaks (49),14119 Riverside Dr,Sherman Oaks,CA,91423,0.0452058178345774
Trader Joe's Prescott (283),252 N Lee Blvd,Prescott,AZ,86303,0.1533653796434226
Trader Joe's Ventura (45),1795 S. Victoria Ave,Ventura,CA,93003,0.1247746212370379
Trader Joe's Acton (511),145 Great Rd,Acton,MA,01720,0.0261763539583068
Trader Joe's Bloomfield Hills (675),6536 Telegraph Rd,Bloomfield Hills,MI,48301,0.0963066009705865
Trader Joe's San Luis Obispo (41),3977 Higuera Street,San Luis Obispo,CA,93401,0.1167842967010567
Trader Joe's Walnut Creek (123),1372 S California Blvd,Walnut Creek,CA,94596,0.0744952732190083
Trader Joe's Sacramento (70),2625 Marconi Ave,Sacramento,CA,95821,0.1507761284974348
Trader Joe's Burbank (124),214 E Alameda Ave,Burbank,CA,91502,0.1155500625297666
Trader Joe's Templeton (211),1111 Rossi Road,Templeton,CA,93465,0.1863957274318705
Trader Joe's Kettering (673),328 East Stroop Rd,Kettering,OH,45429,0.1474196408006796
Trader Joe's East Village (546),436 East 14th St,New York,NY,10009,0.069146499261352
Trader Joe's La Jolla (20),8657 Villa la Jolla Dr,La Jolla,CA,92037,0.0614529809253435
Trader Joe's Colorado Springs (305),5342 N Nevada Ave,Colorado Springs,CO,80918,0.1394731048787399
Trader Joe's Westfield (601),155 Elm St,Westfield,NJ,07090,0.0790447269966141
Trader Joe's Westlake (677),175 Market St,Westlake,OH,44145,0.0695085790346768
Trader Joe's Baton Rouge (754),3535 Perkins Rd,Baton Rouge,LA,70808,0.09855327032726899
Trader Joe's San Ramon (246),300 Market Place,San Ramon,CA,94583,0.1076341962447002
Trader Joe's Santa Rosa - Cleveland Ave (75),3225 Cleveland Ave,Santa Rosa,CA,95403,0.0759045716018068
Trader Joe's Philadelphia - Center City (634),2121 Market St,Philadelphia,PA,19103,0.031820897831405
Trader Joe's San Diego - SDSU (224),5140 College Ave,San Diego,CA,92115,0.1290177587140944
Trader Joe's Brentwood (201),5451 Lone Tree Way,Brentwood,CA,94513,0.1252582031203975
Trader Joe's Palm Beach Gardens (772),2560 PGA Blvd,Palm Beach Gardens,FL,33410,0.1954421823168739
Trader Joe's Stockton (76),6535 Pacific Ave,Stockton,CA,95207,0.1684040828276911
Trader Joe's Houston - Alabama Theater (426),2922 S Shepherd Drive,Houston,TX,77098,0.07569093766587501
Trader Joe's Little Rock (756),11500 Financial Centre Pky,Little Rock,AR,72211,0.1076592128815716
Trader Joe's Alexandria (647),612 N Saint Asaph St,Alexandria,VA,22314,0.0360986020921621
Trader Joe's Corvallis (154),1550 NW 9th St,Corvallis,OR,97330,0.0594193946876126
Trader Joe's Sandy Springs (731),6277 Roswell Road NE,Sandy Springs,GA,30328,0.1030289675400293
Trader Joe's Folsom (172),850 East Bidwell,Folsom,CA,95630,0.1084773398175317
Trader Joe's Glenview (681),1407 Waukegan Rd,Glenview,IL,60025,0.0698510638890036
Trader Joe's Medford (155),55 Rossanley Dr,Medford,OR,97501,0.2975412652974923
Trader Joe's Redlands (99),552 Orange St,Redlands,CA,92374,0.1346286151561944
Trader Joe's Berkeley (186),1885 University Ave,Berkeley,CA,94703,0.0411907753643275
Trader Joe's West Seattle (157),4545 Fauntleroy Way SW,Seattle,WA,98116,0.0389383302324437
Trader Joe's Pasadena (East) (32),3035 E Huntington Dr,Pasadena,CA,91107,0.0659289084891805
Trader Joe's Paramus (605),404 Rt 17 N,Paramus,NJ,07652,0.0965397905289185
Trader Joe's Orange (524),560 Boston Post Rd,Orange,CT,06477,0.0629104980724039
Trader Joe's Bend (150),63455 N Hwy 97,Bend,OR,97701,0.1559707999603629
Trader Joe's Saugus (506),358 Broadway,Saugus,MA,01906,0.1310024953679593
Trader Joe's Tucson - Crossroads (88),4766 E Grant Rd,Tucson,AZ,85712,0.1906976965021622
Trader Joe's Arlington Heights (687),17 W Rand Rd,Arlington Heights,IL,60004,0.08399389663133601
Trader Joe's Staten Island (559),2385 Richmond Ave,Staten Island,NY,10314,0.088910976399673
Trader Joe's USC Village (250),3131 S Hoover Street,Los Angeles,CA,90089,0.0109234599916267
Trader Joe's Albuquerque (167),2200 Uptown Loop NE,Albuquerque,NM,87110,0.0844349590451673
Trader Joe's Lake Zurich (684),735 W Route 22,Lake Zurich,IL,60047,0.0962521002112896
Trader Joe's Larkspur (235),2052 Redwood Hwy,Greenbrae,CA,94904,0.0455939707353821
Trader Joe's Syracuse (537),3422 Erie Blvd E,Syracuse,NY,13214,0.0610564458335306
Trader Joe's Olympia (156),1530 Black Lake Blvd SW,Olympia,WA,98502,0.134433338589013
Trader Joe's Framingham (503),659 Worcester Rd,Framingham,MA,01701,0.0696005762818159
Trader Joe's Laguna Niguel - Ocean Ranch (103),32351 Street of the Golden Lantern,Laguna Niguel,CA,92677,0.0929953657379739
Trader Joe's Chapel Hill (745),1800 E Franklin St,Chapel Hill,NC,27514,0.0459248168077446
Trader Joe's Kenwood (669),7788 Montgomery Rd,Cincinnati,OH,45236,0.1271658010129578
Trader Joe's Chicago - South Loop (701),1147 S Wabash Ave,Chicago,IL,60605,0.0511196187494266
Trader Joe's North Hollywood (252),6130 Laurel Canyon Bl,North Hollywood,CA,91606,0.0962402543959164
Trader Joe's Santa Barbara (59),222 North Milpas Street,Santa Barbara,CA,93103,0.0876575199258904
Trader Joe's Schaumburg (705),1426 E Golf Rd,Schaumburg,IL,60173,0.1356976577991716
Trader Joe's Torrance - Hawthorne Blvd (121),19720 Hawthorne Blvd,Torrance,CA,90503,0.0841149258495268
Trader Joe's Oak Park (697),483 N Harlem Ave,Oak Park,IL,60301,0.0524108823961415
Trader Joe's Greensboro (750),3721 Battleground Ave.,Greensboro,NC,27410,0.0981023098779516
Trader Joe's Surprise (92),14095 W Grand Ave,Surprise,AZ,85374,0.2271592509572911
Trader Joe's Santa Fe (165),530 W Cordova Rd,Santa Fe,NM,87505,0.0705520353987457
Trader Joe's Clovis (180),1077 N Willow Ave,Clovis,CA,93611,0.2048947876548127
Trader Joe's Batavia (689),1942 W Fabyan Pkwy,Batavia,IL,60510,0.0811191771258493
Trader Joe's St. Paul (716),484 Lexington Pkwy S,St. Paul,MN,55105,0.0309923714431205
Trader Joe's 72nd & Broadway (542),2073 Broadway,New York,NY,10023,0.0398676981584194
Trader Joe's N Scottsdale (87),7555 E Frank Lloyd Wright,Scottsdale,AZ,85260,0.1214610842619129
Trader Joe's Grand Rapids - Kentwood (707),3684 28th St SE,Kentwood,MI,49512,0.1916824237075267
Trader Joe's Columbia (658),6610 Marie Curie Dr,Elkridge,MD,21075,0.0772299226536048
Trader Joe's Denville (617),3056 State Route 10 West,Denville,NJ,07834,0.0574208871045833
Trader Joe's Huntington Beach (47),18681 Main St,Huntington Beach,CA,92648,0.08827408532929801
Trader Joe's Marlton (631),300 P Route 73 S,Marlton,NJ,08053,0.0849056312793999
Trader Joe's Castro Valley (84),22224 Redwood Rd,Castro Valley,CA,94546,0.0530749434767958
Trader Joe's Manhattan Beach Blvd (34),1821 Manhattan Beach Blvd,Manhattan Beach,CA,90266,0.0555826409481905
Trader Joe's Plano (402),2400 Preston Rd,Plano,TX,75093,0.1166508464331698
Trader Joe's South Pasadena (18),613 Mission St,S. Pasadena,CA,91030,0.0427164261699207
Trader Joe's Los Angeles - 3rd & Fairfax (240),175 South Fairfax Ave,Los Angeles,CA,90036,0.0974129951546273
Trader Joe's Oklahoma City - Nichols Hills (461),6409 Avondale Dr,Nichols Hills,OK,73116,0.1165779037377585
Trader Joe's Tallahassee (763),3425 Thomasville Rd,Tallahassee,FL,32309,0.1017210480270108
Trader Joe's Burien (133),15868 1st Ave S,Burien,WA,98148,0.0814681073657347
Trader Joe's South San Francisco (187),301 MC Lellan Dr,South San Francisco,CA,94080,0.0716962355675459
Trader Joe's Laguna Hills (39),24231 Avenida De La Carlota,Laguna Hills,CA,92653,0.0984807998590468
Trader Joe's Clifton (610),259 Allwood Road,Clifton,NJ,07012,0.0654771143170153
Trader Joe's Charlotte (744),1133 Metropolitan Ave,Charlotte,NC,28204,0.0552774034503298
Trader Joe's South Burlington (527),200 Dorset St,South Burlington,VT,05403,0.0547001618171018
Trader Joe's Calabasas (254),23741 Calabasas Rd.,Calabasas,CA,91302,0.072368955202488
Trader Joe's Culver City (36),9290 Culver Blvd,Culver City,CA,90232,0.0623559020068287
Trader Joe's Seattle - U District (137),4555 Roosevelt Way NE,Seattle,WA,98105,0.0503967123615522
Trader Joe's Salt Lake City (350),634 East 400 South,Salt Lake City,UT,84102,0.0723548854899118
Trader Joe's Wichita (729),1800 N. Rock Road,Wichita,KS,67206,0.1564875511675927
Trader Joe's Oakland - Lakeshore (203),3250 Lakeshore Ave,Oakland,CA,94610,0.0408918855133482
Trader Joe's La Habra,"2101 W. Imperial Hwy, Suite A",La Habra,CA,90631,0.0999316749354209
Trader Joe's Santa Barbara (183),3025 De La Vina St,Santa Barbara,CA,93105,0.0678988999571281
Trader Joe's Rancho Cucamonga (217),6401 Haven Ave,Rancho Cucamonga,CA,91737,0.1483444155368899
Trader Joe's Katy (Cinco Ranch) (429),2717 Commercial Center Blvd,Katy,TX,77494,0.1283460209992051
