store_name,street,city,state,zip,final_zip_pred,Population,Zip,County,AverageMbps,FastestAverageMbps
Trader Joe's Sunnyvale (68),316 West El Camino Real,Sunnyvale,CA,94087,0.0470502706890842,54293.0,94087,Santa Clara,101.59,243.35
Trader Joe's Aliso Viejo (195),26541 Aliso Creek Rd,Aliso Viejo,CA,92656,0.0692187613040097,49046.0,92656,Orange,116.61,297.85
Trader Joe's Brookline (501),1317 Beacon St,Brookline,MA,02446,0.0322065313702043,29311.0,02446,Norfolk,113.27,268.97
Trader Joe's Park Ridge (698),190 N NW Highway,Park Ridge,IL,60068,0.0708671883656233,37475.0,60068,Cook,147.68,295.55
Trader Joe's Scottsdale (94),6202 N Scottsdale Rd,Scottsdale,AZ,85253,0.1480782308588405,17047.0,85253,Maricopa,156.16,336.65
Trader Joe's Annapolis (650),160 F Jennifer Rd,Annapolis,MD,21401,0.1253924092849092,36012.0,21401,Anne Arundel,137.16,348.81
Trader Joe's San Antonio (451),350 East Basse Road,San Antonio,TX,78209,0.1033838236607299,39197.0,78209,Bexar,141.61,355.2
Trader Joe's Chicago (688),3745 N Lincoln Ave,Chicago,IL,60613,0.0405906373958685,48281.0,60613,Cook,118.29,298.28
Trader Joe's Queen Creek (286),21186 S. Ellsworth Loop Rd,Queen Creek,AZ,85142,0.3410066791355816,48870.0,85142,Maricopa,122.73,299.66
Trader Joe's Newport Beach (125),8086 E Pacific Coast Hwy,Newport Beach,CA,92657,0.0673912586740729,9741.0,92657,Orange,95.65,166.43
Trader Joe's Williamsburg (657),5000 Settlers Market Blvd,Williamsburg,VA,23188,0.0660911246100614,38733.0,23188,James City,97.48,244.29
Trader Joe's Pleasanton (66),3903 Santa Rita Road,Pleasanton,CA,94588,0.0549156973661414,30842.0,94588,Alameda,86.32,234.7
Trader Joe's Media (637),12 E State St,Media,PA,19063,0.0759294236163389,35704.0,19063,Delaware,104.35,293.46
Trader Joe's Bloomington (724),4270 W 78th St,Bloomington,MN,55435,0.0438768715284281,11592.0,55435,Hennepin,77.77,199.7
Trader Joe's Hanover (513),1775 Washington St,Hanover,MA,02339,0.0870441462970584,13879.0,02339,Plymouth,96.49,302.09
Trader Joe's Delray Beach (771),1851 S Federal Highway #500,Delray Beach,FL,33483,0.1047841910211872,12093.0,33483,Palm Beach,142.67,232.17
Trader Joe's Costa Mesa (35),640 W 17th St,Costa Mesa,CA,92627,0.0775322374224249,61510.0,92627,Orange,162.12,432.45
Trader Joe's Mission Viejo (126),25410 Marguerite Pkwy,Mission Viejo,CA,92692,0.0854195348036681,47222.0,92692,Orange,137.03,366.36
Trader Joe's Orland Park (686),14924 S La Grange Rd,Orland Park,IL,60462,0.1287967213835456,38723.0,60462,Cook,139.82,311.48
Trader Joe's Danbury (525),113 Mill Plain Rd,Danbury,CT,06811,0.1060823164785123,31400.0,06811,Fairfield,149.54,404.56
Trader Joe's Beaverton (141),11753 SW Beaverton Hillsdale Hwy,Beaverton,OR,97005,0.0898430213003433,24906.0,97005,Washington,108.48,502.43
Trader Joe's Lake Oswego (142),15391 SW Bangy Rd,Lake Oswego,OR,97035,0.1060736204150903,23912.0,97035,Clackamas,85.8,206.69
Trader Joe's The Woodlands (428),10868 Kuykendahl Road,The Woodlands,TX,77381,0.1776232629987372,34961.0,77381,Montgomery,140.49,337.21
Trader Joe's Fort Myers (784),4983 S. Cleveland Avenue,Fort Myers,FL,33907,0.2396790281386746,22138.0,33907,Lee,79.66,238.09
Trader Joe's Redondo Beach (38),1761 S Elena Ave,Redondo Bch.,CA,90277,0.0584306428968965,35293.0,90277,Los Angeles,99.28,229.67
Trader Joe's Ashburn (619),44755 Brimfield Dr,Ashburn,VA,20147,0.0635460744379808,54086.0,20147,Loudoun,148.61,487.89
Trader Joe's Chico (199),801 East Ave,Chico,CA,95926,0.1752789349142779,37725.0,95926,Butte,110.28,263.01
Trader Joe's Belle Meade (739),90 White Bridge Rd,Nashville,TN,37205,0.0430715553875569,24057.0,37205,Davidson,135.19,322.99
Trader Joe's Royal Oak (674),27880 Woodward Ave,Royal Oak,MI,48067,0.0517661417214288,24458.0,48067,Oakland,75.61,101.04
Trader Joe's Atlanta (730),931 Monroe Dr,Atlanta,GA,30308,0.0905718115797296,15413.0,30308,Fulton,71.61,160.12
Trader Joe's Modesto (9),3250 Dale Road,Modesto,CA,95356,0.1494790300301072,30918.0,95356,Stanislaus,64.26,172.96
Trader Joe's Pinole (230),2742 Pinole Valley Rd,Pinole,CA,94564,0.1101405966722783,18287.0,94564,Contra Costa,128.15,233.71
Trader Joe's Asheville (740),120 Merrimon Ave,Asheville,NC,28801,0.1020375986643483,15019.0,28801,Buncombe,88.89,224.82
Trader Joe's Larchmont (532),1260 Boston Post Rd,Larchmont,NY,10538,0.0370009101305942,16597.0,10538,Westchester,138.06,428.29
Trader Joe's Issaquah (138),975 NW Gilman Blvd,Issaquah,WA,98027,0.0624519773268725,26141.0,98027,King,137.79,383.85
Trader Joe's Scripps Ranch (221),9850 Hibert St,San Diego,CA,92131,0.0705135098041805,32787.0,92131,San Diego,92.73,228.38
Trader Joe's Upper West Side (545),670 Columbus Ave,New York,NY,10025,0.0565890989137601,94600.0,10025,New York,139.28,301.69
Trader Joe's W Des Moines (721),6305 Mills Civic Pkwy,West Des Moines,IA,50266,0.1227820093892956,23625.0,50266,Polk,97.73,234.63
Trader Joe's Bethesda (645),6831 Wisconsin Ave,Bethesda,MD,20815,0.0156593646980448,29082.0,20815,Montgomery,139.83,329.96
Trader Joe's Leawood (723),4201 W 119th St,Leawood,KS,66209,0.0636448912387516,19561.0,66209,Johnson,98.15,303.64
Trader Joe's Newbury Park (243),125 N Reino Road,Thousand Oaks,CA,91320,0.0909707645473735,44274.0,91320,Ventura,113.92,230.36
Trader Joe's San Diego - Hillcrest (26),1090 University Avenue,San Diego,CA,92103,0.0678570493771276,31066.0,92103,San Diego,130.75,320.36
Trader Joe's Morgan Hill (202),17035 Laurel Rd,Morgan Hill,CA,95037,0.0621858882132975,45579.0,95037,Santa Clara,92.71,245.59
Trader Joe's Montrose (52),2462 Honolulu Ave,Montrose,CA,91020,0.1000802008967129,8415.0,91020,Los Angeles,68.69,195.32
Trader Joe's Arlington (505),1427 Massachusetts Ave,Arlington,MA,02476,0.0249407026728476,16532.0,02476,Middlesex,121.67,368.28
Trader Joe's Seattle - Queen Anne Hill (135),1916 Queen Anne Ave N,Seattle,WA,98109,0.040864739973429,20715.0,98109,King,102.34,276.21
Trader Joe's Miami Beach (779),1683 West Ave,Miami Beach,FL,33139,0.1158659684727395,38613.0,33139,Miami-Dade,166.46,322.74
Trader Joe's Needham Heights (504),958 Highland Ave,Needham,MA,02494,0.0222090940637818,8955.0,02494,Norfolk,169.11,401.86
Trader Joe's Pasadena (51),610 S Arroyo Pkwy,Pasadena,CA,91105,0.0355024158782792,11254.0,91105,Los Angeles,75.72,197.5
Trader Joe's Wayne (632),171 E Swedesford Rd,Wayne,PA,19087,0.0683038895775926,32225.0,19087,Chester,156.76,482.57
Trader Joe's Germantown (738),2130 Exeter Rd.,Germantown,TN,38138,0.0867254109191903,24045.0,38138,Shelby,60.72,186.5
Trader Joe's Shoreline (270),1201 N 175th St,Shoreline,WA,98133,0.0586219285953501,44555.0,98133,King,81.28,203.83
Trader Joe's Campbell (73),1875 Bascom Ave,Campbell,CA,95008,0.0758318947365934,45260.0,95008,Santa Clara,90.32,225.01
Trader Joe's Palm Desert (3),44250 Town Center Way,Palm Desert,CA,92260,0.0659793533835304,31753.0,92260,Riverside,98.0,128.63
Trader Joe's Darien (522),436 Boston Post Rd,Darien,CT,06820,0.0516519084490148,20732.0,06820,Fairfield,93.38,226.08
Trader Joe's Fresno (8),8478 N. Friant Road,Fresno,CA,93720,0.17729134736135002,45191.0,93720,Fresno,94.3,230.58
Trader Joe's Huntington Harbour (244),16821 Algonquin St,Huntington Beach,CA,92649,0.1009828068712704,32463.0,92649,Orange,97.34,226.9
Trader Joe's Buckhead (735),3183 Peachtree Rd,Atlanta,GA,30305,0.0863997449762277,22999.0,30305,Fulton,119.02,316.3
Trader Joe's Rochester Hills (668),3044 Walton Blvd,Rochester Hills,MI,48309,0.0839208639285103,29135.0,48309,Oakland,77.01,223.94
Trader Joe's Nashua (507),262 Daniel Webster HWY,Nashua,NH,03060,0.1574464090103215,29357.0,03060,Hillsborough,109.4,260.57
Trader Joe's Hyannis (514),655 Iyannough Road Rt 132,Hyannis,MA,02601,0.1657841611834037,14089.0,02601,Barnstable,99.95,273.05
Trader Joe's Wilmington (747),1437 S College Rd,Wilmington,NC,28403,0.1239302792517296,36063.0,28403,New Hanover,115.89,361.53
Trader Joe's Studio City (122),11976 Ventura Blvd,Studio City,CA,91604,0.0544957472598414,29034.0,91604,Los Angeles,132.56,259.65
Trader Joe's Silverdale (158),9991 Mickelberry Rd,Silverdale,WA,98383,0.0842270203466416,19727.0,98383,Kitsap,142.67,473.98
Trader Joe's San Francisco - Pacific Place (225),10 4th Street,San Francisco,CA,94103,0.0650419953871938,27170.0,94103,San Francisco,124.52,321.84
Trader Joe's San Francisco - 9th St (78),555 9th St,San Francisco,CA,94103,0.0650419953871938,27170.0,94103,San Francisco,124.52,321.84
Trader Joe's Hastings Ranch (171),467 N Rosemead Blvd,Pasadena,CA,91107,0.0659289084891805,32940.0,91107,Los Angeles,99.19,222.37
Trader Joe's Pasadena (East) (32),3035 E Huntington Dr,Pasadena,CA,91107,0.0659289084891805,32940.0,91107,Los Angeles,99.19,222.37
Trader Joe's Dallas North (401),7939 Walnut Hill Lane,Dallas,TX,75230,0.0910553061562697,26934.0,75230,Dallas,145.92,314.9
Trader Joe's Denver Wine (310),790 N Colorado Blvd,Denver,CO,80206,0.0518512480957259,21521.0,80206,Denver,109.14,300.72
Trader Joe's Denver Grocery (300),750 N Colorado Blvd,Denver,CO,80206,0.0518512480957259,21521.0,80206,Denver,109.14,300.72
Trader Joe's Chicago - Diversey Pkwy (703),667 W Diversey Pkwy,Chicago,IL,60614,0.0530017299405959,66617.0,60614,Cook,130.06,283.35
Trader Joe's Chicago - Lincoln Park (691),1840 N Clybourn Ave,Chicago,IL,60614,0.0530017299405959,66617.0,60614,Cook,130.06,283.35
Trader Joe's Freehold (590),4331 Route 9 Unit 3,Freehold,NJ,07728,0.1644686567987345,56257.0,07728,Monmouth,91.77,197.66
Trader Joe's Lafayette (115),3649 Mt Diablo Blvd,Lafayette,CA,94549,0.0638826403202233,26864.0,94549,Contra Costa,162.11,324.78
Trader Joe's Petaluma (107),169 N McDowell Blvd,Petaluma,CA,94954,0.0666079090153054,37365.0,94954,Sonoma,106.34,301.3
Trader Joe's Meridian (361),2986 N. Eagle RD.,Meridian,ID,83646,0.1445046737064602,47098.0,83646,Ada,56.33,170.44
Trader Joe's Austin - Rollingwood (453),2805 Bee Cave Rd,Austin,TX,78746,0.0648048740174686,26928.0,78746,Travis,163.02,306.79
Trader Joe's Madison (712),1810 Monroe St,Madison,WI,53711,0.0539933220653126,45728.0,53711,Dane,81.49,211.31
Trader Joe's Princeton (607),3528 Brunswick Pike,Princeton,NJ,08540,0.0331820329441309,47115.0,08540,Mercer,178.79,495.11
Trader Joe's Louisville Grocery (628),4600 Shelbyville Rd Ste 111,Louisville,KY,40207,0.1044454381824438,29745.0,40207,Jefferson,102.98,314.47
Trader Joe's Louisville Wine (625),4600 Shelbyville Rd Ste 112,Louisville,KY,40207,0.1044454381824438,29745.0,40207,Jefferson,102.98,314.47
Trader Joe's Pittsburgh (638),6343 Penn Ave,Pittsburgh,PA,15206,0.0838124196860163,28615.0,15206,Allegheny,103.94,245.01
Trader Joe's Wayne (603),910 Hamburg Turnpike,Wayne,NJ,07470,0.0761133107957142,54717.0,07470,Passaic,80.32,219.07
Trader Joe's Brea (11),2500 E Imperial Hwy,Brea,CA,92821,0.093804977757964,35533.0,92821,Orange,93.8,229.73
Trader Joe's Kansas City (720),8600 Ward Pkwy,Kansas City,MO,64114,0.0845738309255517,23158.0,64114,Jackson,146.02,426.39
Trader Joe's Kalamazoo (708),5099 Century Ave,Kalamazoo,MI,49006,0.0769509344874124,26455.0,49006,Kalamazoo,69.99,113.25
Trader Joe's Camarillo (114),363 Carmen Dr,Camarillo,CA,93010,0.1629858741543572,42901.0,93010,Ventura,107.6,234.37
Trader Joe's Fremont (77),39324 Argonaut Way,Fremont,CA,94538,0.0926660837610253,61148.0,94538,Alameda,78.11,199.8
Trader Joe's Jacksonville Beach (760),4180 S 3rd St,Jacksonville Beach,FL,32250,0.2657451215690001,25356.0,32250,Duval,106.83,260.61
Trader Joe's Mall of Orange (46),2114 N Tustin St,Orange,CA,92865,0.113203907835408,19704.0,92865,Orange,81.13,224.31
Trader Joe's Long Island City (565),2243 Jackson Ave,Long Island City,NY,11101,0.0738749386644311,25484.0,11101,Queens,160.41,468.98
Trader Joe's Fairfield (523),2258 Black Rock Turnpike,Fairfield,CT,06825,0.0498057812744926,21123.0,06825,Fairfield,122.34,286.22
Trader Joe's West Newton (509),1121 Washington St,West Newton,MA,02465,0.0322483908827181,11710.0,02465,Middlesex,131.68,353.13
Trader Joe's Glen Ellyn (680),680 Roosevelt Rd,Glen Ellyn,IL,60137,0.0743742875266302,37805.0,60137,DuPage,131.77,284.74
Trader Joe's Washington - 25th St (653),1101 25th Street NW,Washington,DC,20037,0.0427242356487402,14642.0,20037,District of Columbia,70.48,192.76
Trader Joe's Brooklyn (558),130 Court St,Brooklyn,NY,11201,0.0579064564045284,51128.0,11201,Kings,132.58,340.41
Trader Joe's Brooklyn - City Point (547),445 Gold St,Brooklyn,NY,11201,0.0579064564045284,51128.0,11201,Kings,132.58,340.41
Trader Joe's Claremont (214),475 W Foothill Blvd,Claremont,CA,91711,0.0531171800023053,35705.0,91711,Los Angeles,88.62,227.07
Trader Joe's Fort Worth (404),2701 S Hulen St,Fort Worth,TX,76109,0.1506802562988636,21710.0,76109,Tarrant,104.48,301.6
Trader Joe's Concord (83),785 Oak Grove Rd,Concord,CA,94518,0.0598591690128658,26778.0,94518,Contra Costa,77.34,225.08
