store_name,street,city,state,zip,landline,mobile,website,date,location,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,Population,Zip,County,AverageMbps,FastestAverageMbps
Trader Joe's Sunnyvale (68),316 West El Camino Real,Sunnyvale,CA,94087,408-736-7573,408-736-7573,https://locations.traderjoes.com/ca/sunnyvale/68/,2021-07-10,California,62.46,50.93,54293.0,94087,Santa Clara,101.59,243.35
Trader Joe's Aliso Viejo (195),26541 Aliso Creek Rd,Aliso Viejo,CA,92656,949-643-5531,949-643-5531,https://locations.traderjoes.com/ca/aliso-viejo/195/,2021-07-10,California,62.46,50.93,49046.0,92656,Orange,116.61,297.85
Trader Joe's Newport Beach (125),8086 E Pacific Coast Hwy,Newport Beach,CA,92657,949-494-7404,949-494-7404,https://locations.traderjoes.com/ca/newport-beach/125/,2021-07-10,California,62.46,50.93,9741.0,92657,Orange,95.65,166.43
Trader Joe's Pleasanton (66),3903 Santa Rita Road,Pleasanton,CA,94588,925-468-0763,925-468-0763,https://locations.traderjoes.com/ca/pleasanton/66/,2021-07-10,California,62.46,50.93,30842.0,94588,Alameda,86.32,234.7
Trader Joe's Costa Mesa (35),640 W 17th St,Costa Mesa,CA,92627,949-642-5134,949-642-5134,https://locations.traderjoes.com/ca/costa-mesa/35/,2021-07-10,California,62.46,50.93,61510.0,92627,Orange,162.12,432.45
Trader Joe's Mission Viejo (126),25410 Marguerite Pkwy,Mission Viejo,CA,92692,949-581-5638,949-581-5638,https://locations.traderjoes.com/ca/mission-viejo/126/,2021-07-10,California,62.46,50.93,47222.0,92692,Orange,137.03,366.36
Trader Joe's Redondo Beach (38),1761 S Elena Ave,Redondo Bch.,CA,90277,310-316-1745,310-316-1745,https://locations.traderjoes.com/ca/redondo-bch./38/,2021-07-10,California,62.46,50.93,35293.0,90277,Los Angeles,99.28,229.67
Trader Joe's Chico (199),801 East Ave,Chico,CA,95926,530-343-9920,530-343-9920,https://locations.traderjoes.com/ca/chico/199/,2021-07-10,California,62.46,50.93,37725.0,95926,Butte,110.28,263.01
Trader Joe's Modesto (9),3250 Dale Road,Modesto,CA,95356,209-491-0445,209-491-0445,https://locations.traderjoes.com/ca/modesto/9/,2021-07-10,California,62.46,50.93,30918.0,95356,Stanislaus,64.26,172.96
Trader Joe's Pinole (230),2742 Pinole Valley Rd,Pinole,CA,94564,510-222-3501,510-222-3501,https://locations.traderjoes.com/ca/pinole/230/,2021-07-10,California,62.46,50.93,18287.0,94564,Contra Costa,128.15,233.71
Trader Joe's Scripps Ranch (221),9850 Hibert St,San Diego,CA,92131,858-549-9185,858-549-9185,https://locations.traderjoes.com/ca/san-diego/221/,2021-07-10,California,62.46,50.93,32787.0,92131,San Diego,92.73,228.38
Trader Joe's Newbury Park (243),125 N Reino Road,Thousand Oaks,CA,91320,805-375-1984,805-375-1984,https://locations.traderjoes.com/ca/thousand-oaks/243/,2021-07-10,California,62.46,50.93,44274.0,91320,Ventura,113.92,230.36
