place,name,blkgrps,population,households,alltransit_performance_score,state
"""0200065""","""Adak""",0.01,9.32,2.29,0.0,AK
"""0200650""","""Akhiok""",0.0,0.63,0.21,0.0,AK
"""0200760""","""Akiachak""",0.0,2.51,0.55,0.0,AK
"""0200870""","""Akiak""",0.0,0.67,0.15,0.0,AK
"""0201090""","""Akutan""",0.03,25.55,3.54,0.0,AK
"""0201200""","""Alakanuk""",0.01,15.35,3.45,0.0,AK
"""0201305""","""Alatna""",0.0,1.43,0.45,0.0,AK
"""0201390""","""Alcan Border""",0.01,7.6,2.55,0.0,AK
"""0201420""","""Aleknagik""",0.01,6.15,1.32,0.0,AK
"""0201560""","""Aleneva""",0.06,30.09,13.69,0.0,AK
"""0201860""","""Allakaket""",0.0,0.59,0.19,0.0,AK
"""0201970""","""Ambler""",0.0,0.65,0.15,0.0,AK
"""0202080""","""Anaktuvuk Pass""",0.0,0.07,0.02,0.0,AK
"""0203000""","""Anchorage""",214.0,298225.0,106012.0,3.5,AK
"""0203110""","""Anchor Point""",2.55,2071.8,833.38,0.0,AK
"""0203220""","""Anderson""",0.04,5.92,2.68,0.0,AK
"""0203440""","""Angoon""",0.01,7.81,2.26,0.0,AK
"""0203550""","""Aniak""",0.0,2.16,0.6,0.0,AK
"""0203880""","""Anvik""",0.0,0.38,0.14,0.0,AK
"""0203990""","""Arctic Village""",0.0,1.15,0.42,0.0,AK
"""0204210""","""Atka""",0.0,2.41,0.59,0.0,AK
"""0204430""","""Atmautluak""",0.0,0.28,0.05,0.0,AK
"""0204500""","""Atqasuk""",0.0,2.11,0.56,0.0,AK
"""0204670""","""Attu Station""",0.04,41.46,10.21,0.0,AK
"""0205000""","""Badger""",11.78,18542.39,6623.47,1.1,AK
"""0205200""","""Barrow""",0.39,825.12,258.84,0.0,AK
"""0205585""","""Bear Creek""",0.02,35.48,13.1,0.0,AK
"""0205750""","""Beaver""",0.0,0.34,0.13,0.0,AK
"""0206245""","""Beluga""",0.01,6.41,1.25,0.0,AK
"""0206520""","""Bethel""",2.46,3146.04,979.66,0.0,AK
"""0206630""","""Bettles""",0.0,0.03,0.01,0.0,AK
"""0206850""","""Big Delta""",0.02,19.56,4.32,0.0,AK
"""0207070""","""Big Lake""",2.83,2657.64,930.31,0.2,AK
"""0207620""","""Birch Creek""",0.0,0.13,0.05,0.0,AK
"""0208740""","""Brevig Mission""",0.0,0.36,0.08,0.0,AK
"""0209600""","""Buckland""",0.0,0.13,0.03,0.0,AK
"""0209657""","""Buffalo Soapstone""",0.63,1796.27,546.06,0.5,AK
"""0209710""","""Butte""",1.97,3811.21,1127.34,0.0,AK
"""0210150""","""Cantwell""",0.01,21.97,6.21,0.0,AK
"""0211690""","""Central""",0.02,17.23,6.73,0.0,AK
"""0211800""","""Chalkyitsik""",0.0,0.14,0.05,0.0,AK
"""0212350""","""Chase""",0.04,33.68,14.24,0.0,AK
"""0212680""","""Chefornak""",0.0,4.26,0.9,0.0,AK
"""0212920""","""Chena Ridge""",2.01,6089.68,2415.92,0.7,AK
"""0212970""","""Chenega""",0.01,5.36,1.64,0.0,AK
"""0213230""","""Chevak""",0.0,0.61,0.12,0.0,AK
"""0213340""","""Chickaloon""",0.02,9.19,4.08,0.0,AK
"""0213450""","""Chicken""",0.01,6.09,2.05,0.0,AK
"""0213550""","""Chignik""",0.0,0.43,0.14,0.0,AK
"""0213670""","""Chignik Lagoon""",0.0,0.52,0.17,0.0,AK
"""0213780""","""Chignik Lake""",0.0,0.48,0.16,0.0,AK
"""0213860""","""Chiniak""",0.05,43.97,16.54,0.0,AK
"""0213890""","""Chisana""",0.01,3.31,0.99,0.0,AK
"""0214000""","""Chistochina""",0.04,15.63,4.65,0.0,AK
"""0214110""","""Chitina""",0.01,0.73,0.37,0.0,AK
"""0214330""","""Chuathbaluk""",0.0,0.1,0.03,0.0,AK
"""0214880""","""Circle""",0.01,7.48,2.92,0.0,AK
"""0215320""","""Clam Gulch""",0.16,230.33,101.01,0.0,AK
"""0215430""","""Clark's Point""",0.0,0.76,0.16,0.0,AK
"""0216360""","""Coffman Cove""",0.0,3.95,1.53,0.0,AK
"""0216420""","""Cohoe""",0.84,1233.67,540.99,0.0,AK
"""0216530""","""Cold Bay""",0.02,21.53,2.98,0.0,AK
"""0216630""","""Coldfoot""",0.0,0.79,0.23,0.0,AK
"""0216750""","""College""",10.48,13728.43,4851.89,2.9,AK
"""0217190""","""Cooper Landing""",0.04,44.92,17.93,0.0,AK
"""0217300""","""Copper Center""",0.01,5.61,1.42,0.0,AK
"""0217410""","""Cordova""",1.01,1800.6,661.42,0.0,AK
"""0217670""","""Covenant Life""",0.01,7.98,3.17,0.0,AK
"""0217740""","""Craig""",0.21,174.73,64.07,0.0,AK
"""0217850""","""Crooked Creek""",0.01,2.25,0.7,0.0,AK
"""0217960""","""Crown Point""",0.0,2.44,0.97,0.0,AK
"""0218510""","""Deering""",0.0,0.79,0.17,0.0,AK
"""0218620""","""Delta Junction""",1.0,929.0,294.0,0.0,AK
"""0218675""","""Deltana""",0.17,445.4,136.03,0.0,AK
"""0218805""","""Denali Park""",0.02,32.83,9.29,0.0,AK
