place,name,blkgrps,population,households,alltransit_performance_score,state
"""0400730""","""Aguila""",0.0,6.49,2.33,0.0,AZ
"""0400870""","""Ajo""",3.02,2869.48,1105.44,0.9,AZ
"""0400940""","""Ak Chin""",0.0,1.0,0.24,0.3,AZ
"""0401090""","""Ak-Chin Village""",0.32,407.47,122.15,0.0,AZ
"""0401170""","""Alamo Lake""",0.08,35.82,15.4,0.0,AZ
"""0401560""","""Ali Chuk""",0.0,2.2,0.52,0.0,AZ
"""0401570""","""Ali Chukson""",0.0,2.33,0.67,0.0,AZ
"""0401620""","""Ali Molina""",0.0,0.87,0.25,0.0,AZ
"""0401920""","""Alpine""",0.0,0.84,0.39,0.0,AZ
"""0401990""","""Amado""",0.04,12.92,5.81,0.0,AZ
"""0402270""","""Anegam""",0.01,2.79,1.06,0.0,AZ
"""0402410""","""Antares""",0.0,1.28,0.61,0.0,AZ
"""0402430""","""Anthem""",10.0,22980.0,8065.0,0.0,AZ
"""0402830""","""Apache Junction""",23.8,42414.28,18596.0,0.0,AZ
"""0403320""","""Arivaca""",0.04,27.55,15.05,0.3,AZ
"""0403380""","""Arivaca Junction""",0.02,27.84,8.7,0.0,AZ
"""0403530""","""Arizona City""",5.16,10737.96,4124.37,0.0,AZ
"""0403915""","""Arizona Village""",0.08,142.78,67.54,0.3,AZ
"""0404020""","""Arlington""",0.03,34.19,11.31,0.0,AZ
"""0404440""","""Ash Fork""",0.01,8.07,2.94,0.0,AZ
"""0404710""","""Avenue B and C""",4.43,3243.09,1152.55,2.7,AZ
"""0404720""","""Avondale""",38.52,76496.27,23744.62,4.8,AZ
"""0404880""","""Avra Valley""",2.29,4614.22,1854.85,0.8,AZ
"""0404930""","""Aztec""",0.01,5.47,1.72,0.0,AZ
"""0405140""","""Bagdad""",0.02,30.77,10.3,0.0,AZ
"""0405450""","""Bear Flat""",0.0,0.94,0.55,0.0,AZ
"""0405490""","""Beaver Dam""",0.0,6.59,2.69,0.0,AZ
"""0405495""","""Beaver Valley""",0.03,29.3,12.39,0.0,AZ
"""0405770""","""Benson""",4.44,4226.73,2021.3,0.8,AZ
"""0405970""","""Beyerville""",0.02,37.8,10.87,0.0,AZ
"""0406260""","""Bisbee""",1.31,1002.96,484.82,0.0,AZ
"""0406470""","""Bitter Springs""",0.02,23.7,6.25,0.0,AZ
"""0406610""","""Black Canyon City""",0.27,599.6,259.74,0.0,AZ
"""0406820""","""Blackwater""",0.28,559.78,164.44,0.0,AZ
"""0407025""","""Bluewater""",0.08,73.44,36.34,0.0,AZ
"""0407310""","""Bouse""",0.49,405.31,184.45,0.0,AZ
"""0407380""","""Bowie""",0.0,1.61,0.73,0.0,AZ
"""0407590""","""Brenda""",0.02,20.91,9.61,0.0,AZ
"""0407915""","""Bryce""",0.0,3.06,1.05,0.0,AZ
"""0407940""","""Buckeye""",22.75,51575.99,15552.83,0.4,AZ
"""0408020""","""Buckshot""",0.01,4.05,1.73,1.6,AZ
"""0408220""","""Bullhead City""",29.17,38162.4,16339.28,1.9,AZ
"""0408535""","""Burnside""",0.06,86.5,21.51,0.4,AZ
"""0408710""","""Bylas""",0.0,5.19,1.12,0.0,AZ
"""0408920""","""Cactus Flats""",0.39,801.35,248.66,0.0,AZ
"""0408990""","""Cactus Forest""",0.06,382.37,22.84,0.0,AZ
"""0409340""","""Cameron""",0.02,24.96,7.0,0.0,AZ
"""0409580""","""Campo Bonito""",0.07,104.41,47.34,0.0,AZ
"""0409690""","""Camp Verde""",5.06,8827.19,3275.85,0.0,AZ
"""0409900""","""Cane Beds""",0.03,108.37,18.47,0.0,AZ
