place,name,blkgrps,population,households,alltransit_performance_score,state
"""0901150""","""Ansonia""",10.0,18953.0,6981.0,4.2,CT
"""0902550""","""Baltic""",0.27,402.32,153.12,0.0,CT
"""0902690""","""Bantam""",0.18,203.14,90.57,0.0,CT
"""0904790""","""Bethel""",5.83,8087.05,3331.4,4.7,CT
"""0904945""","""Bethlehem Village""",1.18,1457.36,544.97,0.0,CT
"""0906050""","""Blue Hills""",2.66,3410.12,1176.08,7.7,CT
"""0907345""","""Branford Center""",6.0,6355.0,3063.0,6.7,CT
"""0908000""","""Bridgeport""",109.0,147586.0,50341.0,6.9,CT
"""0908420""","""Bristol""",43.0,60498.0,24789.0,3.2,CT
"""0908770""","""Broad Brook""",1.33,3457.89,1281.01,0.0,CT
"""0909120""","""Brooklyn""",0.22,373.54,102.47,0.4,CT
"""0910660""","""Byram""",3.25,3901.47,1455.4,7.5,CT
"""0910870""","""Canaan""",1.0,1123.0,469.0,0.8,CT
"""0911990""","""Cannondale""",0.12,191.06,59.3,4.4,CT
"""0912370""","""Canton Valley""",0.85,1356.9,552.54,2.0,CT
"""0914200""","""Cheshire Village""",3.04,5334.53,1797.8,3.7,CT
"""0914370""","""Chester Center""",1.07,1370.02,589.94,2.3,CT
"""0915420""","""Clinton""",3.09,2955.31,1260.83,4.9,CT
"""0915840""","""Colchester""",3.18,3616.54,1473.54,1.6,CT
"""0916120""","""Collinsville""",2.21,3556.14,1516.01,1.7,CT
"""0916960""","""Conning Towers Nautilus Park""",5.52,8160.82,2306.3,1.4,CT
"""0917520""","""Cos Cob""",5.39,6337.17,2326.58,5.2,CT
"""0917835""","""Coventry Lake""",1.89,2298.82,929.21,0.0,CT
"""0918220""","""Crystal Lake""",1.42,1950.72,702.91,0.0,CT
"""0918430""","""Danbury""",48.0,84573.0,29692.0,4.0,CT
"""0918780""","""Danielson""",3.32,3366.15,1635.21,0.0,CT
"""0918920""","""Darien""",15.0,21742.0,6703.0,6.8,CT
"""0919200""","""Deep River Center""",1.91,1954.68,893.19,1.8,CT
"""0919480""","""Derby""",8.0,12700.0,4919.0,5.1,CT
"""0920740""","""Durham""",1.73,2449.4,943.71,0.0,CT
"""0921160""","""East Brooklyn""",1.0,1708.0,701.0,0.2,CT
"""0922420""","""East Hampton""",1.03,1817.87,675.08,1.4,CT
"""0922700""","""East Hartford""",41.0,50812.0,19572.0,6.8,CT
"""0922980""","""East Haven""",20.0,29006.0,11270.0,4.7,CT
"""0926370""","""Essex Village""",2.65,2431.67,1200.59,1.7,CT
"""0927390""","""Falls Village""",0.05,54.65,24.71,0.0,CT
"""0927810""","""Fenwick""",0.4,431.63,212.0,0.0,CT
"""0930190""","""Gales Ferry""",1.01,941.56,370.08,1.2,CT
"""0930540""","""Georgetown""",0.51,1371.35,479.1,2.3,CT
"""0931270""","""Glastonbury Center""",4.09,6079.31,2677.71,3.9,CT
"""0931520""","""Glenville""",1.96,1526.2,652.51,0.4,CT
"""0933690""","""Greenwich""",15.58,13051.91,5520.22,7.0,CT
"""0934180""","""Groton""",6.0,9184.0,4254.0,3.4,CT
"""0934460""","""Groton Long Point""",1.0,480.0,238.0,0.0,CT
"""0935020""","""Guilford Center""",2.43,2504.36,1226.76,5.6,CT
"""0937000""","""Hartford""",96.0,124390.0,45822.0,8.5,CT
"""0937770""","""Hazardville""",3.19,4651.2,1823.93,0.2,CT
"""0937930""","""Heritage Village""",2.61,2953.1,1661.78,0.1,CT
"""0938050""","""Higganum""",1.09,1629.43,604.03,2.1,CT
"""0939940""","""Jewett City""",3.0,3443.0,1308.0,2.4,CT
"""0940150""","""Kensington""",5.88,8539.94,3530.52,4.8,CT
"""0941410""","""Lake Pocotopaug""",1.9,3389.31,1498.84,1.5,CT
"""0941830""","""Lakeville""",1.09,839.78,411.58,0.0,CT
"""0943300""","""Litchfield""",0.31,361.33,157.78,0.0,CT
"""0943790""","""Long Hill""",2.0,4528.0,2455.0,3.0,CT
"""0944630""","""Madison Center""",2.27,2292.74,967.97,5.8,CT
"""0944690""","""Manchester""",29.2,30031.14,12481.06,6.4,CT
"""0945120""","""Mansfield Center""",0.6,656.48,234.96,1.3,CT
"""0945995""","""Mashantucket""",0.23,495.22,191.19,1.1,CT
"""0946450""","""Meriden""",48.0,60241.0,26109.0,4.1,CT
"""0947290""","""Middletown""",31.0,46747.0,19187.0,3.5,CT
"""0947515""","""Milford city (balance)""",39.56,52632.66,21074.88,4.8,CT
"""0949110""","""Moodus""",0.3,670.72,285.71,0.0,CT
"""0949180""","""Moosup""",2.09,3137.34,1128.96,0.0,CT
"""0949810""","""Mystic""",2.66,3916.41,1838.04,3.2,CT
"""0949880""","""Naugatuck""",21.0,31649.0,11765.0,2.7,CT
"""0950370""","""New Britain""",60.0,73069.0,28531.0,6.3,CT
"""0951420""","""New Hartford Center""",1.0,1161.0,548.0,0.9,CT
"""0952000""","""New Haven""",106.0,130884.0,49987.0,7.9,CT
"""0952210""","""Newington""",21.0,30603.0,12519.0,6.4,CT
"""0952280""","""New London""",20.0,27147.0,10984.0,4.6,CT
"""0952560""","""New Milford""",2.78,5347.56,2208.68,2.1,CT
"""0952770""","""New Preston""",1.0,932.0,432.0,0.0,CT
"""0952910""","""Newtown""",2.0,1972.0,691.0,0.0,CT
"""0953120""","""Niantic""",2.12,2729.84,1347.47,0.9,CT
"""0953260""","""Noank""",1.25,1333.05,598.53,0.3,CT
"""0953400""","""Norfolk""",0.05,32.65,15.02,0.0,CT
"""0954660""","""North Granby""",1.0,1522.0,503.0,0.0,CT
"""0954730""","""North Grosvenor Dale""",1.24,942.56,433.63,0.0,CT
"""0954940""","""North Haven""",16.0,23877.0,8570.0,4.4,CT
"""0955725""","""Northwest Harwinton""",3.13,2980.85,1050.42,0.1,CT
"""0955990""","""Norwalk""",70.0,88537.0,33385.0,6.3,CT
"""0956200""","""Norwich""",27.0,39875.0,15795.0,2.8,CT
"""0956690""","""Oakville""",7.07,7702.26,3087.15,2.9,CT
"""0956900""","""Old Greenwich""",6.0,6860.0,2190.0,6.8,CT
"""0957180""","""Old Mystic""",1.42,2789.17,1113.07,1.3,CT
"""0957390""","""Old Saybrook Center""",1.54,1769.92,776.1,6.3,CT
"""0957670""","""Orange""",12.0,13981.0,4959.0,3.4,CT
"""0958520""","""Oxoboxo River""",1.94,2854.45,1219.59,0.7,CT
"""0959140""","""Pawcatuck""",4.94,4402.22,1949.58,3.1,CT
"""0959210""","""Pemberwick""",4.6,4673.0,1534.19,3.5,CT
"""0960090""","""Plainfield Village""",1.39,1436.89,608.6,0.0,CT
"""0960260""","""Plantsville""",0.76,1601.9,731.19,1.8,CT
"""0961730""","""Poquonock Bridge""",1.01,2380.14,782.84,2.3,CT
"""0961870""","""Portland""",5.11,5509.06,2561.2,1.7,CT
"""0962640""","""Putnam""",7.54,6617.84,2820.38,0.0,CT
"""0963270""","""Quinebaug""",0.99,1536.9,561.04,0.0,CT
"""0963900""","""Ridgefield""",4.1,7284.88,2878.74,1.1,CT
"""0964530""","""Riverside""",7.0,8385.0,2741.0,6.2,CT
"""0965230""","""Rockville""",5.36,7313.4,3228.69,5.6,CT
"""0966455""","""Salmon Brook""",1.98,2422.53,1007.11,1.0,CT
"""0967050""","""Saybrook Manor""",1.0,1055.0,438.0,2.7,CT
"""0967890""","""Sharon""",0.96,717.04,252.97,0.0,CT
"""0968100""","""Shelton""",24.0,41282.0,15961.0,2.1,CT
"""0968450""","""Sherwood Manor""",3.59,5673.5,2286.16,1.3,CT
"""0969010""","""Simsbury Center""",4.86,5278.61,2042.89,1.2,CT
"""0969150""","""Somers""",0.88,1244.2,489.76,0.0,CT
"""0969990""","""South Coventry""",1.05,1241.7,511.81,0.0,CT
"""0971040""","""Southport""",1.51,1750.93,778.87,8.0,CT
"""0971250""","""South Windham""",1.63,1597.7,659.99,0.6,CT
"""0971460""","""Southwood Acres""",4.68,6954.38,2816.46,0.0,CT
"""0971530""","""South Woodstock""",1.31,1274.43,559.03,0.0,CT
"""0972300""","""Stafford Springs""",3.22,4455.42,1818.57,0.0,CT
"""0973000""","""Stamford""",77.0,128851.0,48647.0,6.6,CT
"""0973700""","""Stonington""",1.0,955.0,517.0,1.7,CT
"""0973980""","""Storrs""",4.55,15300.34,1448.12,2.5,CT
"""0974260""","""Stratford""",39.0,52529.0,20179.0,4.7,CT
"""0974655""","""Suffield Depot""",0.53,1134.72,423.76,0.0,CT
"""0975100""","""Tariffville""",1.0,1226.0,556.0,0.0,CT
"""0975200""","""Terramuggus""",1.08,959.58,384.58,1.9,CT
"""0975240""","""Terryville""",3.92,4476.11,1982.81,0.0,CT
"""0975660""","""Thomaston""",1.03,1364.45,624.84,2.6,CT
"""0975940""","""Thompsonville""",6.84,8256.17,3391.55,2.5,CT
"""0976500""","""Torrington""",26.0,35078.0,14907.0,0.8,CT
"""0977270""","""Trumbull""",23.0,36455.0,12383.0,1.9,CT
"""0978880""","""Wallingford Center""",14.93,17677.64,7560.41,5.5,CT
"""0980000""","""Waterbury""",82.0,109250.0,39816.0,5.6,CT
"""0980210""","""Waterford""",2.73,3059.56,1413.38,1.6,CT
"""0980420""","""Watertown""",3.63,3395.75,1389.29,2.9,CT
"""0980630""","""Wauregan""",0.52,765.99,232.49,0.0,CT
"""0980770""","""Weatogue""",2.16,2936.51,1029.07,1.1,CT
"""0981750""","""Westbrook Center""",1.73,1506.69,773.99,5.2,CT
"""0982660""","""West Hartford""",65.0,63360.0,24470.0,7.1,CT
"""0982800""","""West Haven""",47.0,55044.0,19387.0,7.2,CT
"""0983570""","""Westport""",20.0,27777.0,9820.0,4.0,CT
"""0983990""","""West Simsbury""",1.45,2331.22,811.71,0.3,CT
"""0984970""","""Wethersfield""",22.0,26395.0,10778.0,6.3,CT
"""0985810""","""Willimantic""",10.89,16959.54,5438.23,3.3,CT
"""0986380""","""Wilton Center""",0.23,343.46,135.08,4.4,CT
"""0987140""","""Windsor Locks""",9.54,12563.0,5078.0,3.4,CT
"""0987350""","""Winsted""",4.26,6401.21,2843.29,0.9,CT
"""0987980""","""Woodbury Center""",0.91,1236.63,605.93,0.0,CT
"""0988050""","""Woodmont""",1.44,1234.34,559.12,5.7,CT
