place,name,blkgrps,population,households,alltransit_performance_score,state
"""1001400""","""Arden""",0.63,546.53,235.27,3.5,DE
"""1001530""","""Ardencroft""",0.12,273.13,99.7,3.9,DE
"""1001660""","""Ardentown""",0.73,598.92,250.9,4.0,DE
"""1004130""","""Bear""",8.63,18979.93,6472.11,4.0,DE
"""1004650""","""Bellefonte""",1.0,1202.0,486.0,6.6,DE
"""1005690""","""Bethany Beach""",3.87,969.68,482.2,0.0,DE
"""1005820""","""Bethel""",0.04,85.8,36.2,1.2,DE
"""1006730""","""Blades""",0.08,275.37,90.82,1.4,DE
"""1007250""","""Bowers""",0.03,27.82,12.09,0.9,DE
"""1008680""","""Bridgeville""",0.74,1921.26,859.69,1.4,DE
"""1009850""","""Brookside""",9.23,13410.64,5042.66,4.5,DE
"""1010760""","""Camden""",1.37,4322.97,1642.12,3.2,DE
"""1014660""","""Cheswold""",0.24,854.11,345.78,2.4,DE
"""1015310""","""Claymont""",6.34,6964.19,2645.88,6.2,DE
"""1015440""","""Clayton""",0.51,1992.36,692.65,1.0,DE
"""1018950""","""Dagsboro""",0.38,418.84,159.98,0.0,DE
"""1019730""","""Delaware City""",1.69,1729.9,640.66,2.8,DE
"""1020380""","""Delmar""",0.16,383.01,146.52,0.9,DE
"""1020900""","""Dewey Beach""",1.04,111.69,66.07,0.7,DE
"""1021200""","""Dover""",15.02,31650.88,11454.22,4.5,DE
"""1021387""","""Dover Base Housing""",0.63,1477.76,524.03,2.2,DE
"""1023240""","""Edgemoor""",5.0,6500.8,2679.01,6.4,DE
"""1024020""","""Ellendale""",0.02,47.12,14.51,0.9,DE
"""1024540""","""Elsmere""",5.0,6097.0,2347.0,5.1,DE
"""1025840""","""Farmington""",0.0,3.92,1.36,0.0,DE
"""1026620""","""Felton""",0.08,236.99,98.87,0.9,DE
"""1026880""","""Fenwick Island""",0.8,373.15,192.15,2.2,DE
"""1028310""","""Frankford""",0.12,207.03,71.58,0.0,DE
"""1028440""","""Frederica""",0.17,266.36,114.68,0.8,DE
"""1029090""","""Georgetown""",1.82,4002.88,1078.38,3.2,DE
"""1029350""","""Glasgow""",5.88,15540.24,5390.3,3.4,DE
"""1031430""","""Greenville""",1.56,1682.94,744.4,2.6,DE
"""1031560""","""Greenwood""",0.02,87.42,28.24,0.0,DE
"""1033120""","""Harrington""",0.55,955.78,347.49,1.2,DE
"""1033250""","""Hartly""",0.0,11.89,3.91,0.0,DE
"""1033900""","""Henlopen Acres""",0.63,150.6,76.5,1.7,DE
"""1034810""","""Highland Acres""",1.21,2902.55,1102.26,3.6,DE
"""1035850""","""Hockessin""",6.71,12956.35,4644.88,1.6,DE
"""1036760""","""Houston""",0.04,93.72,36.11,0.0,DE
"""1038710""","""Kent Acres""",0.7,1528.16,541.64,4.5,DE
"""1039100""","""Kenton""",0.01,22.67,8.33,0.0,DE
"""1041310""","""Laurel""",0.65,1553.39,550.12,1.6,DE
"""1041700""","""Leipsic""",0.0,5.87,2.18,0.0,DE
"""1041830""","""Lewes""",1.2,2076.28,1071.14,3.0,DE
"""1042870""","""Little Creek""",0.01,35.33,14.92,2.6,DE
"""1043245""","""Long Neck""",2.03,3280.4,1493.75,2.0,DE
"""1044430""","""Magnolia""",0.05,107.26,34.41,1.3,DE
"""1047030""","""Middletown""",3.26,12367.91,4173.01,2.4,DE
"""1047420""","""Milford""",4.63,8467.67,3209.27,2.1,DE
"""1047940""","""Millsboro""",1.32,2499.82,944.38,2.0,DE
"""1048200""","""Millville""",0.57,1192.18,505.3,0.0,DE
"""1048330""","""Milton""",0.3,663.06,298.58,1.3,DE
"""1050670""","""Newark""",14.32,29470.98,9347.54,4.7,DE
"""1050800""","""New Castle""",6.01,5693.32,2404.73,4.7,DE
"""1051190""","""Newport""",1.29,1157.67,442.96,5.5,DE
"""1052490""","""North Star""",5.0,7390.0,2704.0,0.0,DE
"""1053920""","""Ocean View""",1.12,2275.41,993.69,0.0,DE
"""1054050""","""Odessa""",0.11,840.7,260.98,2.6,DE
"""1056490""","""Pike Creek""",4.22,8530.96,3230.87,1.0,DE
"""1056500""","""Pike Creek Valley""",6.08,9831.54,4247.14,2.8,DE
"""1060290""","""Rehoboth Beach""",4.0,1311.67,748.97,3.9,DE
"""1061265""","""Rising Sun-Lebanon""",1.11,4166.32,1471.51,1.8,DE
"""1061480""","""Riverview""",0.82,2573.54,865.27,0.7,DE
"""1061720""","""Rodney Village""",0.89,1079.58,395.12,4.0,DE
"""1063800""","""St. Georges""",0.12,437.63,127.11,1.6,DE
"""1064320""","""Seaford""",3.14,5991.6,2320.88,2.3,DE
"""1064840""","""Selbyville""",0.39,712.65,259.51,0.0,DE
"""1067050""","""Slaughter Beach""",0.03,58.92,24.95,0.1,DE
"""1067310""","""Smyrna""",2.26,9015.75,3351.33,2.2,DE
"""1067700""","""South Bethany""",1.51,394.6,214.59,0.0,DE
"""1072510""","""Townsend""",0.08,355.51,110.48,0.7,DE
"""1074330""","""Viola""",0.02,30.62,10.86,0.9,DE
"""1077580""","""Wilmington""",75.25,71750.41,28639.18,7.7,DE
"""1077840""","""Wilmington Manor""",5.5,7342.3,2705.86,5.7,DE
"""1080830""","""Woodside""",0.01,27.52,11.82,0.9,DE
"""1080895""","""Woodside East""",0.45,1482.38,466.34,1.6,DE
"""1081350""","""Wyoming""",0.62,948.21,398.1,3.0,DE
