place,name,blkgrps,population,households,alltransit_performance_score,state
"""1600100""","""Aberdeen""",1.03,1364.42,426.26,0.0,ID
"""1600280""","""Acequia""",0.01,17.81,6.47,0.0,ID
"""1601000""","""Albion""",0.0,1.45,0.48,0.0,ID
"""1601900""","""American Falls""",1.71,2393.44,779.77,0.0,ID
"""1601990""","""Ammon""",3.64,11207.42,3730.59,0.9,ID
"""1602935""","""Arbon Valley""",0.13,108.91,35.9,0.0,ID
"""1603160""","""Arco""",0.0,3.02,1.15,0.0,ID
"""1603340""","""Arimo""",0.0,2.32,0.81,0.0,ID
"""1603610""","""Ashton""",0.1,74.36,26.37,0.0,ID
"""1603700""","""Athol""",0.04,87.93,34.37,0.0,ID
"""1603970""","""Atomic City""",0.0,0.13,0.05,0.0,ID
"""1604420""","""Bancroft""",0.0,1.25,0.46,0.0,ID
"""1604600""","""Banks""",0.01,9.66,4.06,0.0,ID
"""1605230""","""Basalt""",0.03,53.17,17.25,0.0,ID
"""1606220""","""Bellevue""",1.01,1293.19,407.75,3.1,ID
"""1606670""","""Bennington""",0.32,218.4,99.29,0.0,ID
"""1607840""","""Blackfoot""",5.92,8211.52,3056.75,0.3,ID
"""1608290""","""Blanchard""",0.02,44.66,16.0,0.0,ID
"""1608470""","""Bliss""",0.0,1.92,0.78,0.0,ID
"""1608560""","""Bloomington""",0.01,4.22,1.7,0.0,ID
"""1608830""","""Boise City""",115.86,205181.6,83679.25,3.8,ID
"""1609370""","""Bonners Ferry""",0.21,233.52,99.23,0.0,ID
"""1609730""","""Bovill""",0.0,0.61,0.24,0.0,ID
"""1610810""","""Buhl""",2.57,2674.38,1030.76,0.0,ID
"""1611260""","""Burley""",8.01,7950.9,2793.85,0.0,ID
"""1611710""","""Butte City""",0.0,0.06,0.03,0.0,ID
"""1612250""","""Caldwell""",15.51,38192.0,12056.44,1.8,ID
"""1612520""","""Cambridge""",0.0,1.21,0.55,0.0,ID
"""1612790""","""Carey""",0.0,3.14,0.87,0.0,ID
"""1613150""","""Cascade""",0.02,19.43,8.35,0.0,ID
"""1613240""","""Castleford""",0.0,2.23,0.87,0.0,ID
"""1613780""","""Challis""",0.0,2.21,1.06,0.0,ID
"""1614680""","""Chubbuck""",4.33,10093.22,3705.07,2.8,ID
"""1614950""","""Clark Fork""",0.0,4.31,2.24,0.0,ID
"""1615490""","""Clayton""",0.0,0.0,0.0,0.0,ID
"""1616120""","""Clifton""",0.02,36.82,8.18,0.0,ID
"""1616750""","""Coeur d'Alene""",19.21,37788.75,15883.88,1.8,ID
"""1617830""","""Conkling Park""",0.02,20.07,7.2,1.0,ID
"""1618640""","""Cottonwood""",0.03,26.06,9.9,0.0,ID
"""1618820""","""Council""",0.0,2.7,1.17,0.0,ID
"""1619270""","""Craigmont""",0.01,3.77,1.58,0.0,ID
"""1619720""","""Crouch""",0.0,0.81,0.33,0.0,ID
"""1619900""","""Culdesac""",0.0,3.56,1.29,0.0,ID
"""1620350""","""Dalton Gardens""",1.03,2293.69,868.54,1.5,ID
"""1620710""","""Dayton""",0.07,111.52,28.2,0.0,ID
"""1620890""","""Deary""",0.01,10.14,4.61,0.0,ID
"""1620980""","""Declo""",0.01,12.38,3.73,0.0,ID
"""1621520""","""De Smet""",0.01,4.33,1.63,0.7,ID
"""1621790""","""Dietrich""",0.0,1.75,0.49,0.0,ID
"""1622330""","""Donnelly""",0.0,4.36,1.56,0.0,ID
"""1622510""","""Dover""",0.78,1148.81,574.89,0.0,ID
"""1622600""","""Downey""",0.0,5.53,2.12,0.0,ID
"""1622690""","""Driggs""",0.14,352.33,124.78,0.0,ID
"""1622780""","""Drummond""",0.0,0.43,0.15,0.0,ID
"""1622960""","""Dubois""",0.0,1.63,0.48,0.0,ID
"""1623410""","""Eagle""",6.42,24847.45,9293.52,0.4,ID
"""1623680""","""East Hope""",0.0,2.48,1.21,0.0,ID
"""1624310""","""Eden""",0.0,3.73,1.5,0.0,ID
"""1625030""","""Elk City""",0.0,0.24,0.14,0.0,ID
"""1625120""","""Elk River""",0.0,0.12,0.06,0.0,ID
"""1625570""","""Emmett""",3.18,3799.11,1617.33,0.0,ID
"""1626290""","""Fairfield""",0.0,0.72,0.3,0.0,ID
"""1627460""","""Ferdinand""",0.0,1.13,0.4,0.0,ID
"""1627550""","""Fernan Lake Village""",0.05,77.0,33.95,0.7,ID
"""1627730""","""Filer""",1.22,821.1,306.9,0.0,ID
"""1627910""","""Firth""",0.06,104.1,33.78,0.0,ID
"""1628360""","""Fort Hall""",0.67,848.18,267.61,0.0,ID
"""1628810""","""Franklin""",0.02,25.58,8.95,0.5,ID
"""1628990""","""Fruitland""",0.65,1800.58,677.0,0.7,ID
"""1629620""","""Garden City""",5.25,9563.2,4370.75,3.2,ID
"""1629710""","""Garden Valley""",0.01,21.28,8.83,0.0,ID
"""1630160""","""Genesee""",0.01,10.68,4.07,0.0,ID
"""1630340""","""Georgetown""",0.0,2.7,1.01,0.0,ID
"""1631690""","""Glenns Ferry""",0.44,530.02,222.72,0.0,ID
"""1632140""","""Gooding""",1.86,2467.0,966.02,0.0,ID
"""1632500""","""Grace""",0.01,10.24,3.72,0.0,ID
"""1632770""","""Grand View""",0.02,10.27,4.11,0.0,ID
"""1632950""","""Grangeville""",1.25,1133.67,492.19,0.0,ID
"""1633490""","""Greenleaf""",0.04,90.73,26.25,0.0,ID
"""1634030""","""Groveland""",0.41,614.72,187.65,0.0,ID
