place,name,blkgrps,population,households,alltransit_performance_score,state
"""1700113""","""Abingdon""",1.51,1018.91,461.39,0.0,IL
"""1700178""","""Adair""",0.01,2.45,1.2,0.0,IL
"""1700230""","""Addieville""",0.02,19.7,8.0,0.0,IL
"""1700243""","""Addison""",25.79,35823.3,12102.32,2.0,IL
"""1700295""","""Adeline""",0.01,9.26,4.14,0.0,IL
"""1700516""","""Albany""",0.52,516.8,212.31,0.0,IL
"""1700555""","""Albers""",0.05,60.07,21.53,0.0,IL
"""1700568""","""Albion""",1.52,1143.29,530.03,0.0,IL
"""1700646""","""Aledo""",0.54,469.82,211.85,0.0,IL
"""1700672""","""Alexis""",0.02,10.12,4.24,0.0,IL
"""1700685""","""Algonquin""",12.9,25749.57,8900.18,0.7,IL
"""1700737""","""Alhambra""",0.02,31.14,11.99,0.0,IL
"""1700815""","""Allendale""",0.01,12.05,4.03,0.0,IL
"""1700867""","""Allenville""",0.01,18.16,6.64,0.0,IL
"""1700880""","""Allerton""",0.01,6.61,2.65,0.0,IL
"""1700919""","""Alma""",0.05,37.15,16.83,0.0,IL
"""1700958""","""Alorton""",2.18,1473.44,577.96,6.4,IL
"""1700971""","""Alpha""",0.07,37.76,18.46,0.0,IL
"""1700997""","""Alsey""",0.01,6.76,3.55,0.0,IL
"""1701010""","""Alsip""",12.73,18286.64,6896.38,3.7,IL
"""1701049""","""Altamont""",1.27,1107.87,413.47,0.0,IL
"""1701114""","""Alton""",26.42,26141.52,11044.74,4.9,IL
"""1701140""","""Altona""",0.03,18.14,7.71,0.0,IL
"""1701205""","""Alto Pass""",0.06,106.14,42.85,0.0,IL
"""1701242""","""Alvan""",0.01,13.06,4.55,0.0,IL
"""1701270""","""Amboy""",1.42,1385.35,537.73,0.0,IL
"""1701361""","""Anchor""",0.0,1.5,0.65,0.0,IL
"""1701426""","""Andalusia""",0.43,364.34,143.84,0.0,IL
"""1701491""","""Andover""",0.07,47.74,19.24,0.0,IL
"""1701543""","""Anna""",1.98,2292.84,845.55,0.0,IL
"""1701556""","""Annapolis""",0.0,0.37,0.17,0.0,IL
"""1701569""","""Annawan""",0.31,291.0,126.7,0.0,IL
"""1701595""","""Antioch""",4.44,9409.33,3460.36,1.7,IL
"""1701647""","""Apple Canyon Lake""",0.1,99.11,49.87,0.0,IL
"""1701673""","""Apple River""",0.02,34.11,14.94,0.0,IL
"""1701881""","""Arcola""",0.78,955.54,357.12,0.0,IL
"""1701946""","""Arenzville""",0.02,15.81,7.01,0.0,IL
"""1701972""","""Argenta""",0.54,410.86,150.08,0.0,IL
"""1702102""","""Arlington""",0.01,5.82,2.26,0.0,IL
"""1702154""","""Arlington Heights""",52.52,75787.1,30454.12,3.5,IL
"""1702206""","""Armington""",0.01,4.33,1.77,0.0,IL
"""1702258""","""Aroma Park""",0.8,675.47,259.75,1.6,IL
"""1702342""","""Arrowsmith""",0.0,2.56,1.02,0.0,IL
"""1702414""","""Arthur""",0.37,426.9,154.73,0.0,IL
"""1702479""","""Ashkum""",0.02,23.89,9.43,0.0,IL
"""1702505""","""Ashland""",0.33,342.01,139.32,0.0,IL
"""1702531""","""Ashley""",0.09,61.93,26.52,0.4,IL
"""1702557""","""Ashmore""",0.24,152.48,72.11,0.0,IL
"""1702583""","""Ashton""",0.06,40.79,16.71,0.0,IL
"""1702609""","""Assumption""",0.17,103.61,47.96,0.0,IL
"""1702635""","""Astoria""",0.03,20.22,8.34,0.0,IL
"""1702674""","""Athens""",0.46,589.96,236.54,0.0,IL
"""1702726""","""Atkinson""",0.47,535.53,206.93,0.0,IL
"""1702752""","""Atlanta""",0.58,524.11,238.11,0.0,IL
"""1702882""","""Atwood""",0.04,26.44,10.23,0.0,IL
"""1702921""","""Auburn""",2.45,2461.25,969.25,0.0,IL
"""1702986""","""Augusta""",0.05,25.32,11.63,0.0,IL
"""1703012""","""Aurora""",99.09,185211.02,57366.88,3.4,IL
"""1703103""","""Ava""",0.02,25.69,11.72,0.0,IL
"""1703181""","""Aviston""",0.27,501.44,186.97,0.0,IL
"""1703207""","""Avon""",0.1,68.62,25.59,0.0,IL
"""1703454""","""Baldwin""",0.02,13.41,6.09,0.0,IL
"""1703571""","""Banner""",0.02,17.44,7.28,0.0,IL
"""1703610""","""Bannockburn""",1.0,1852.02,405.61,1.1,IL
