place,name,blkgrps,population,households,alltransit_performance_score,state
"""2500135""","""Abington""",10.0,16275.0,6236.0,2.4,MA
"""2500530""","""Acushnet Center""",1.75,1927.29,847.42,0.9,MA
"""2500590""","""Adams""",6.12,4978.94,2405.8,1.9,MA
"""2500840""","""Agawam Town""",17.0,28748.0,11750.0,2.4,MA
"""2501260""","""Amesbury Town""",15.0,17218.0,7025.0,1.4,MA
"""2501360""","""Amherst Center""",9.56,20613.87,3060.35,7.1,MA
"""2501430""","""Andover""",5.27,9387.33,3460.27,5.1,MA
"""2501640""","""Arlington""",44.0,44992.0,18632.0,8.2,MA
"""2502515""","""Athol""",4.92,6364.58,2669.66,2.1,MA
"""2502690""","""Attleboro""",30.0,44326.0,17094.0,3.9,MA
"""2503040""","""Ayer""",3.2,2357.26,1180.4,5.4,MA
"""2503355""","""Baldwinville""",0.84,1061.57,477.63,0.9,MA
"""2503690""","""Barnstable Town""",37.97,44273.15,18897.17,1.8,MA
"""2503705""","""Barre""",1.0,1156.0,502.0,0.0,MA
"""2504790""","""Belchertown""",1.13,3031.21,1195.24,1.7,MA
"""2504965""","""Bellingham""",2.02,3903.69,1662.18,1.4,MA
"""2505105""","""Belmont""",27.0,25965.0,9728.0,8.1,MA
"""2505595""","""Beverly""",29.95,41298.44,16399.06,4.9,MA
"""2506050""","""Blandford""",0.02,28.05,12.05,0.0,MA
"""2506170""","""Bliss Corner""",4.15,4952.5,2277.62,2.1,MA
"""2507000""","""Boston""",558.36,669091.28,263217.43,9.3,MA
"""2507140""","""Bourne""",1.41,984.06,475.35,1.2,MA
"""2507385""","""Boxford""",1.43,2665.24,864.06,0.0,MA
"""2507740""","""Braintree Town""",26.0,37082.0,14017.0,5.8,MA
"""2507945""","""Brewster""",3.02,1924.78,1003.42,1.2,MA
"""2508050""","""Bridgewater""",3.98,9089.44,2345.39,5.8,MA
"""2509000""","""Brockton""",87.0,95161.0,32200.0,6.2,MA
"""2509070""","""Brookfield""",0.34,281.31,130.17,1.5,MA
"""2509210""","""Brookline""",38.0,59246.0,24716.0,9.3,MA
"""2509875""","""Burlington""",15.0,26103.0,9572.0,4.4,MA
"""2510015""","""Buzzards Bay""",3.11,3405.19,1332.34,2.0,MA
"""2511000""","""Cambridge""",88.0,110893.0,44234.0,9.1,MA
"""2512960""","""Chatham""",1.42,847.97,447.31,1.6,MA
"""2513205""","""Chelsea""",27.0,39272.0,12723.0,9.0,MA
"""2513310""","""Cheshire""",0.37,325.83,129.11,2.0,MA
"""2513450""","""Chester""",0.04,58.23,22.28,0.0,MA
"""2513660""","""Chicopee""",43.0,55778.0,22987.0,5.3,MA
"""2514430""","""Clinton""",5.32,5939.48,2447.34,0.0,MA
"""2514570""","""Cochituate""",5.58,6575.86,2364.84,1.2,MA
"""2515340""","""Cordaville""",1.49,2425.59,804.82,4.9,MA
"""2516285""","""Danvers""",16.0,27527.0,10624.0,1.8,MA
"""2516530""","""Dedham""",21.0,25377.0,9872.0,5.6,MA
"""2516635""","""Deerfield""",0.13,188.73,64.44,0.8,MA
"""2516740""","""Dennis""",2.87,2401.23,1230.46,0.0,MA
"""2516810""","""Dennis Port""",3.68,3409.31,1753.91,1.4,MA
"""2516840""","""Devens""",1.78,2563.85,618.82,3.7,MA
"""2517370""","""Dover""",1.52,2190.15,744.18,0.1,MA
"""2517860""","""Duxbury""",1.48,1279.29,517.03,1.0,MA
"""2518595""","""East Brookfield""",1.0,1167.0,460.0,1.9,MA
"""2518840""","""East Dennis""",3.35,2405.88,1258.51,0.0,MA
"""2518875""","""East Douglas""",1.0,2675.0,1027.0,0.0,MA
"""2518980""","""East Falmouth""",5.13,5909.11,2620.87,1.2,MA
"""2519370""","""Easthampton Town""",12.0,16051.0,7205.0,2.1,MA
"""2519400""","""East Harwich""",4.22,5332.98,2442.13,1.4,MA
"""2520310""","""East Pepperell""",1.44,1524.12,621.26,0.0,MA
"""2520380""","""East Sandwich""",3.56,3400.63,1380.34,0.4,MA
"""2521115""","""Edgartown""",0.26,188.53,73.48,3.5,MA
"""2521815""","""Essex""",1.0,1319.0,525.0,0.9,MA
"""2521990""","""Everett""",27.0,45212.0,15591.0,8.4,MA
"""2523000""","""Fall River""",81.0,89258.0,38611.0,3.6,MA
"""2523070""","""Falmouth""",4.09,3298.95,1912.4,3.0,MA
"""2523840""","""Fiskdale""",1.82,2538.41,1063.12,0.0,MA
"""2523875""","""Fitchburg""",32.0,40666.0,14828.0,4.0,MA
"""2524190""","""Forestdale""",2.23,4586.82,1560.7,0.2,MA
"""2524855""","""Foxborough""",3.53,4842.33,2112.68,0.3,MA
"""2524960""","""Framingham""",45.0,71232.0,27770.0,3.8,MA
"""2525172""","""Franklin Town""",17.0,32843.0,11288.0,2.6,MA
"""2525485""","""Gardner""",13.0,20496.0,8254.0,2.3,MA
"""2526150""","""Gloucester""",23.0,29858.0,12906.0,4.0,MA
"""2526500""","""Granby""",1.0,1468.0,664.0,0.0,MA
"""2526780""","""Great Barrington""",2.78,2013.43,1059.61,2.7,MA
"""2527100""","""Greenfield Town""",17.0,17474.0,7884.0,2.3,MA
"""2527147""","""Green Harbor-Cedar Crest""",1.15,1577.29,582.29,1.6,MA
"""2527445""","""Groton""",0.25,517.77,184.28,0.2,MA
"""2528425""","""Hanscom AFB""",0.92,1631.99,462.34,3.4,MA
"""2528460""","""Hanson""",1.0,1674.0,606.0,0.1,MA
"""2529055""","""Harwich Center""",1.45,1201.54,590.24,1.6,MA
"""2529090""","""Harwich Port""",2.59,1689.58,909.46,2.5,MA
"""2529230""","""Hatfield""",1.0,942.04,448.65,0.0,MA
"""2529405""","""Haverhill""",40.0,62943.0,24155.0,3.7,MA
"""2530175""","""Hingham""",3.71,5200.25,1848.03,6.5,MA
"""2530420""","""Holbrook""",9.0,11029.0,4291.0,4.8,MA
"""2530630""","""Holland""",0.64,848.72,337.58,0.0,MA
"""2530840""","""Holyoke""",37.0,40362.0,15403.0,5.8,MA
"""2530980""","""Hopedale""",1.47,2480.82,1023.64,1.1,MA
"""2531050""","""Hopkinton""",1.13,2257.5,720.75,1.9,MA
"""2531295""","""Housatonic""",1.1,411.93,153.77,2.0,MA
"""2531575""","""Hudson""",9.07,15556.48,6091.64,1.5,MA
"""2531680""","""Hull""",8.0,10402.0,4892.0,3.0,MA
"""2531750""","""Huntington""",1.04,715.13,311.38,0.0,MA
"""2532275""","""Ipswich""",3.03,3606.07,1643.87,5.1,MA
"""2533185""","""Kingston""",4.6,5775.29,2224.49,2.4,MA
