place,name,blkgrps,population,households,alltransit_performance_score,state
"""2300695""","""Alfred""",0.31,493.38,184.31,0.0,ME
"""2301360""","""Anson""",0.05,60.51,24.69,0.0,ME
"""2301675""","""Ashland""",0.05,51.58,20.75,0.0,ME
"""2302060""","""Auburn""",17.0,22941.0,9916.0,1.8,ME
"""2302100""","""Augusta""",17.0,18626.0,8544.0,2.0,ME
"""2302795""","""Bangor""",25.0,32237.0,14035.0,3.3,ME
"""2302830""","""Bar Harbor""",1.48,1019.51,481.76,0.0,ME
"""2303355""","""Bath""",8.0,8314.0,4041.0,0.0,ME
"""2303950""","""Belfast""",5.0,6680.0,2893.0,0.0,ME
"""2304685""","""Berwick""",0.18,434.32,173.65,1.2,ME
"""2304860""","""Biddeford""",15.0,21413.0,8545.0,2.9,ME
"""2304965""","""Bingham""",0.07,55.46,25.51,0.0,ME
"""2305350""","""Blaine""",0.15,99.7,40.97,0.0,ME
"""2305665""","""Blue Hill""",0.15,194.83,93.63,0.0,ME
"""2306085""","""Boothbay Harbor""",0.44,409.51,206.97,0.0,ME
"""2306330""","""Bowdoinham""",0.24,324.25,142.3,0.0,ME
"""2306925""","""Brewer""",8.0,9167.0,3754.0,2.2,ME
"""2307135""","""Bridgton""",2.05,1537.68,719.8,0.6,ME
"""2308395""","""Brunswick""",11.11,15057.38,6067.66,1.8,ME
"""2308500""","""Brunswick Station""",1.03,567.39,252.19,0.5,ME
"""2308780""","""Bucksport""",2.39,2463.49,1166.27,0.0,ME
"""2309585""","""Calais""",3.0,3018.0,1378.0,0.0,ME
"""2309690""","""Camden""",2.32,2501.38,1308.1,0.0,ME
"""2310320""","""Cape Neddick""",3.11,2668.14,1215.2,0.0,ME
"""2310565""","""Caribou""",9.0,7827.0,3511.0,0.0,ME
"""2311090""","""Casco""",0.5,478.72,144.46,0.0,ME
"""2311230""","""Castine""",0.2,253.72,61.24,0.0,ME
"""2312770""","""Chisholm""",0.53,422.75,152.56,0.0,ME
"""2313435""","""Clinton""",0.84,811.2,325.37,0.0,ME
"""2314800""","""Cousins Island""",0.63,393.31,159.08,0.0,ME
"""2315500""","""Cumberland Center""",1.42,2181.6,743.26,0.1,ME
"""2316200""","""Damariscotta""",0.58,648.01,279.16,0.0,ME
"""2317495""","""Dexter""",0.68,779.05,355.14,0.0,ME
"""2317705""","""Dixfield""",0.02,41.93,15.89,0.0,ME
"""2318230""","""Dover-Foxcroft""",0.64,756.19,304.07,0.0,ME
"""2319385""","""Eagle Lake""",0.05,46.91,19.1,0.0,ME
"""2321065""","""East Millinocket""",0.13,232.59,106.2,0.0,ME
"""2321730""","""Eastport""",1.0,1399.0,711.0,0.0,ME
"""2323200""","""Ellsworth""",4.98,7879.91,3337.58,0.0,ME
"""2324285""","""Fairfield""",2.94,3142.95,1235.07,1.3,ME
"""2324480""","""Falmouth""",1.96,1950.22,916.59,3.0,ME
"""2324530""","""Falmouth Foreside""",1.9,1455.88,560.77,2.2,ME
"""2324635""","""Farmingdale""",1.38,1685.44,813.8,0.8,ME
"""2324740""","""Farmington""",0.5,807.17,281.11,0.0,ME
"""2325580""","""Fort Fairfield""",0.42,536.23,278.28,0.0,ME
"""2325720""","""Fort Kent""",0.31,472.68,205.51,0.0,ME
"""2326490""","""Freeport""",2.0,1249.0,622.0,4.5,ME
"""2326875""","""Fryeburg""",0.81,566.05,197.56,0.0,ME
"""2327085""","""Gardiner""",7.0,5672.0,2353.0,0.4,ME
"""2328205""","""Gorham""",3.46,5196.8,1748.83,1.8,ME
"""2328835""","""Gray""",0.45,591.06,260.04,0.0,ME
"""2329500""","""Greenville""",0.41,354.57,163.24,0.0,ME
"""2330060""","""Guilford""",0.05,80.5,36.32,0.0,ME
"""2330550""","""Hallowell""",3.0,2453.0,1127.0,1.2,ME
"""2330760""","""Hampden""",3.07,3766.55,1471.8,1.6,ME
"""2331705""","""Hartland""",0.06,99.37,41.8,0.0,ME
"""2333945""","""Houlton""",3.75,2743.36,1231.76,0.0,ME
"""2334225""","""Howland""",0.08,110.02,40.65,0.0,ME
"""2336500""","""Kennebunk""",2.58,4334.38,2040.63,0.0,ME
"""2336710""","""Kennebunkport""",1.14,1112.38,481.34,0.0,ME
"""2337235""","""Kittery""",3.96,4730.5,2058.76,1.2,ME
"""2337375""","""Kittery Point""",0.48,542.43,270.69,0.0,ME
"""2337795""","""Lake Arrowhead""",1.26,2192.12,754.48,0.0,ME
"""2338740""","""Lewiston""",25.0,36211.0,16063.0,2.2,ME
"""2339265""","""Limestone""",0.15,136.45,44.93,0.0,ME
"""2339440""","""Lincoln""",0.29,524.73,223.41,0.0,ME
"""2340105""","""Lisbon Falls""",2.15,3804.45,1438.3,0.0,ME
"""2340350""","""Little Falls""",0.15,236.63,94.41,0.0,ME
"""2340470""","""Littlejohn Island""",0.2,126.65,51.23,0.0,ME
"""2340735""","""Livermore Falls""",1.21,1123.51,576.54,0.0,ME
"""2341575""","""Lubec""",0.69,355.52,187.08,0.0,ME
"""2341925""","""Machias""",0.57,576.0,269.46,0.0,ME
"""2342485""","""Madawaska""",3.26,2460.29,1144.03,0.0,ME
"""2342625""","""Madison""",1.87,2508.51,1188.47,0.0,ME
"""2343220""","""Mapleton""",0.09,85.4,34.97,0.0,ME
"""2343675""","""Mars Hill""",0.06,58.1,21.74,0.0,ME
"""2344620""","""Mechanic Falls""",1.18,1614.34,664.28,0.0,ME
"""2345250""","""Mexico""",1.17,981.64,334.8,0.0,ME
"""2345635""","""Milford""",0.16,225.81,89.32,0.3,ME
"""2345845""","""Millinocket""",2.9,3643.02,1679.38,0.0,ME
"""2345985""","""Milo""",0.22,220.79,91.66,0.0,ME
"""2348050""","""Naples""",0.25,297.06,123.95,0.6,ME
"""2348610""","""Newcastle""",0.08,124.68,59.28,0.0,ME
"""2349100""","""Newport""",0.76,857.57,375.07,0.0,ME
"""2349800""","""Norridgewock""",0.51,965.9,337.65,0.0,ME
"""2350290""","""North Berwick""",1.03,1167.38,475.75,0.0,ME
"""2353685""","""North Windham""",3.32,4352.75,1612.39,0.7,ME
"""2353965""","""Norway""",2.12,2180.44,776.05,0.0,ME
"""2354525""","""Oakland""",1.53,1642.54,756.08,0.5,ME
"""2355120""","""Old Orchard Beach""",10.0,8745.0,4686.0,2.4,ME
"""2355225""","""Old Town""",7.0,7594.0,3318.0,1.5,ME
"""2355575""","""Orono""",6.0,9667.0,2619.0,2.2,ME
"""2356240""","""Oxford""",0.7,1093.27,411.99,0.0,ME
"""2358970""","""Pittsfield""",1.43,1500.71,580.75,0.0,ME
"""2360545""","""Portland""",53.37,66800.5,30201.47,6.1,ME
"""2360825""","""Presque Isle""",8.0,9246.0,4102.0,0.0,ME
"""2361735""","""Randolph""",2.0,2011.0,862.0,0.4,ME
"""2362610""","""Richmond""",1.31,1209.11,591.05,0.0,ME
"""2363590""","""Rockland""",8.0,7204.0,3567.0,0.0,ME
"""2364255""","""Rumford""",2.96,3054.01,1305.0,0.0,ME
"""2364675""","""Saco""",11.0,19127.0,7712.0,2.0,ME
"""2365725""","""Sanford""",16.0,20920.0,8720.0,0.0,ME
"""2366110""","""Scarborough""",1.14,2630.71,992.97,2.0,ME
"""2366600""","""Searsport""",0.27,482.58,251.59,0.0,ME
"""2368875""","""Skowhegan""",4.52,4456.45,2104.45,0.0,ME
"""2370660""","""South Eliot""",1.85,3508.56,1497.82,0.5,ME
"""2371780""","""South Paris""",1.0,934.79,361.05,0.0,ME
"""2371990""","""South Portland""",21.0,25431.0,10663.0,3.9,ME
"""2372830""","""Southwest Harbor""",0.16,196.45,95.35,0.0,ME
"""2372900""","""South Windham""",0.17,513.71,152.9,0.0,ME
"""2373635""","""Standish""",0.32,279.57,167.05,0.0,ME
"""2373985""","""Steep Falls""",0.43,1378.03,487.71,0.0,ME
"""2376330""","""Thomaston""",0.91,739.79,377.29,0.0,ME
"""2376925""","""Topsham""",3.28,5092.55,2158.09,0.4,ME
"""2378220""","""Unity""",0.11,95.01,36.55,0.0,ME
"""2378535""","""Van Buren""",1.52,969.26,461.29,0.0,ME
"""2379515""","""Waldoboro""",0.24,373.19,177.13,0.0,ME
"""2380250""","""Washburn""",0.25,214.44,87.92,0.0,ME
"""2380740""","""Waterville""",14.0,16374.0,7219.0,1.8,ME
"""2382105""","""Westbrook""",12.0,18156.0,8054.0,4.5,ME
"""2383330""","""West Kennebunk""",0.3,604.58,234.87,0.0,ME
"""2385815""","""Wilton""",0.28,376.46,150.34,0.0,ME
"""2386480""","""Winslow""",7.0,7608.0,3123.0,0.4,ME
"""2386620""","""Winter Harbor""",0.15,68.76,32.57,0.0,ME
"""2386725""","""Winterport""",0.5,1248.59,511.47,0.0,ME
"""2386935""","""Winthrop""",2.01,2280.91,1045.4,0.0,ME
"""2387040""","""Wiscasset""",0.46,574.43,247.71,0.0,ME
"""2387250""","""Woodland""",0.06,43.97,19.8,0.0,ME
"""2387810""","""Yarmouth""",4.11,4477.34,1883.79,1.7,ME
"""2388160""","""York Harbor""",1.89,2575.86,1277.8,0.0,ME
