place,name,blkgrps,population,households,alltransit_performance_score,state
"""3400100""","""Absecon""",7.0,8370.0,3209.0,4.5,NJ
"""3400640""","""Allamuchy""",0.0,6.34,2.81,0.0,NJ
"""3400700""","""Allendale""",5.0,6820.0,2279.0,5.9,NJ
"""3400730""","""Allenhurst""",0.74,521.62,213.56,7.3,NJ
"""3400760""","""Allentown""",1.0,1890.0,702.0,0.0,NJ
"""3400790""","""Allenwood""",0.83,1134.72,299.6,0.0,NJ
"""3400850""","""Alloway""",0.21,683.03,255.17,0.0,NJ
"""3401030""","""Alpha""",2.0,2225.0,926.0,0.2,NJ
"""3401090""","""Alpine""",2.0,1481.0,555.0,0.2,NJ
"""3401300""","""Anderson""",0.16,138.65,48.4,0.0,NJ
"""3401330""","""Andover""",1.0,604.0,248.0,0.7,NJ
"""3401480""","""Annandale""",0.57,1194.9,341.5,5.0,NJ
"""3401900""","""Asbury""",0.05,64.77,23.34,0.1,NJ
"""3401960""","""Asbury Park""",17.0,15830.0,6656.0,6.9,NJ
"""3401990""","""Ashland""",4.87,8432.81,3018.14,7.0,NJ
"""3402080""","""Atlantic City""",34.0,39075.0,15404.0,7.2,NJ
"""3402110""","""Atlantic Highlands""",4.0,4322.0,1735.0,5.1,NJ
"""3402200""","""Audubon""",9.0,8736.0,3500.0,5.6,NJ
"""3402230""","""Audubon Park""",1.0,951.0,479.0,6.1,NJ
"""3402320""","""Avalon""",3.0,1423.99,738.0,1.6,NJ
"""3402350""","""Avenel""",9.67,17826.98,4807.5,5.4,NJ
"""3402440""","""Avon-by-the-Sea""",2.0,1814.0,911.0,5.3,NJ
"""3402880""","""Barclay""",3.41,4224.2,1450.74,2.5,NJ
"""3403040""","""Barnegat""",0.98,2764.9,993.73,2.1,NJ
"""3403130""","""Barnegat Light""",1.22,282.85,158.37,0.5,NJ
"""3403250""","""Barrington""",5.0,6811.0,2770.0,4.3,NJ
"""3403520""","""Bay Head""",1.0,1011.0,446.0,5.8,NJ
"""3403580""","""Bayonne""",52.0,66719.0,25213.0,8.8,NJ
"""3403940""","""Beach Haven""",3.0,1102.0,565.0,0.5,NJ
"""3404120""","""Beach Haven West""",4.1,2915.68,1341.54,0.1,NJ
"""3404180""","""Beachwood""",7.0,11193.0,3715.0,1.6,NJ
"""3404252""","""Beattystown""",2.05,4377.07,1790.48,1.5,NJ
"""3404400""","""Beckett""",2.0,4887.0,1582.0,2.0,NJ
"""3404600""","""Belford""",1.39,2082.35,641.63,1.7,NJ
"""3404630""","""Belle Mead""",0.1,385.49,113.09,1.3,NJ
"""3404660""","""Belleplain""",0.2,439.15,164.31,0.7,NJ
"""3404750""","""Bellmawr""",9.0,11482.0,4357.0,3.0,NJ
"""3404930""","""Belmar""",6.0,5719.0,2637.0,6.5,NJ
"""3404990""","""Belvidere""",3.0,2619.0,1025.0,0.0,NJ
"""3405170""","""Bergenfield""",24.0,27694.0,8688.0,6.3,NJ
"""3405440""","""Berlin""",4.0,7612.0,2750.0,3.8,NJ
"""3405590""","""Bernardsville""",4.0,7792.0,2743.0,3.1,NJ
"""3405740""","""Beverly""",2.0,2520.0,949.0,7.3,NJ
"""3406025""","""Blackwells Mills""",0.19,317.27,100.93,0.6,NJ
"""3406040""","""Blackwood""",4.79,4418.49,1598.11,5.4,NJ
"""3406130""","""Blairstown""",0.01,17.75,6.23,0.0,NJ
"""3406190""","""Blawenburg""",0.12,176.38,63.62,1.3,NJ
"""3406340""","""Bloomingdale""",6.0,8139.0,2865.0,1.8,NJ
"""3406370""","""Bloomsbury""",1.0,752.0,309.0,0.0,NJ
"""3406490""","""Bogota""",6.0,8437.0,2891.0,7.4,NJ
"""3406610""","""Boonton""",8.0,8390.0,3134.0,3.6,NJ
"""3406670""","""Bordentown""",4.0,3872.0,1736.0,7.5,NJ
"""3406790""","""Bound Brook""",7.0,10510.0,3651.0,7.0,NJ
"""3406970""","""Bradley Beach""",5.0,4262.0,2169.0,5.9,NJ
"""3407000""","""Bradley Gardens""",6.66,13396.29,4409.11,1.7,NJ
"""3407120""","""Brainards""",0.03,22.79,8.19,0.0,NJ
"""3407300""","""Branchville""",1.0,920.0,317.0,0.0,NJ
"""3407360""","""Brass Castle""",0.57,1360.72,485.68,0.7,NJ
"""3407600""","""Bridgeton""",13.0,24948.0,6217.0,3.2,NJ
"""3407660""","""Bridgeville""",0.03,37.41,14.22,0.0,NJ
"""3407750""","""Brielle""",4.0,4738.0,1786.0,3.9,NJ
"""3407810""","""Brigantine""",10.0,9164.0,4355.0,4.0,NJ
"""3408020""","""Broadway""",0.04,71.99,25.91,0.6,NJ
"""3408110""","""Brookdale""",9.19,8903.67,3076.82,6.3,NJ
"""3408140""","""Brookfield""",0.02,44.47,22.47,0.0,NJ
"""3408170""","""Brooklawn""",2.0,2006.0,714.0,6.2,NJ
"""3408455""","""Browns Mills""",4.71,9678.6,3464.49,1.1,NJ
"""3408492""","""Brownville""",1.45,2711.83,1133.85,5.3,NJ
"""3408620""","""Budd Lake""",4.37,9899.15,3775.84,0.6,NJ
"""3408680""","""Buena""",3.0,4510.0,1773.0,1.7,NJ
"""3408890""","""Burleigh""",0.61,762.11,365.12,3.5,NJ
"""3408920""","""Burlington""",10.0,9835.0,3901.0,6.9,NJ
"""3409040""","""Butler""",5.0,7780.0,2880.0,3.2,NJ
"""3409100""","""Buttzville""",0.04,50.27,18.77,0.0,NJ
"""3409170""","""Byram Center""",0.22,430.3,160.88,1.0,NJ
"""3409250""","""Caldwell""",7.0,8032.0,3315.0,6.0,NJ
"""3409280""","""Califon""",1.0,1259.0,465.0,0.0,NJ
"""3410000""","""Camden""",62.0,75550.0,25195.0,8.0,NJ
"""3410270""","""Cape May""",4.01,3514.88,1347.0,2.1,NJ
"""3410300""","""Cape May Court House""",3.0,5109.0,2074.0,2.7,NJ
"""3410330""","""Cape May Point""",1.0,204.0,113.0,0.0,NJ
"""3410480""","""Carlstadt""",5.0,6268.0,2328.0,8.3,NJ
"""3410600""","""Carneys Point""",5.28,6571.35,2552.57,2.9,NJ
"""3410750""","""Carteret""",14.56,24103.33,8008.13,4.8,NJ
"""3411140""","""Cedar Glen Lakes""",1.02,1056.25,769.9,0.9,NJ
"""3411155""","""Cedar Glen West""",0.73,779.95,586.96,0.6,NJ
