place,name,blkgrps,population,households,alltransit_performance_score,state
"""3600155""","""Accord""",0.39,512.96,225.21,0.7,NY
"""3600199""","""Adams""",0.15,228.46,85.44,0.0,NY
"""3600232""","""Adams Center""",0.55,1003.53,384.81,0.0,NY
"""3600276""","""Addison""",0.16,215.26,85.53,0.0,NY
"""3600342""","""Afton""",0.08,89.8,37.05,0.0,NY
"""3600408""","""Airmont""",5.3,9429.62,2711.88,1.4,NY
"""3600441""","""Akron""",1.52,1901.32,873.94,0.0,NY
"""3601000""","""Albany""",84.0,98498.0,41245.0,8.1,NY
"""3601011""","""Albertson""",5.0,5294.0,1782.0,6.5,NY
"""3601033""","""Albion""",3.36,4102.98,1738.82,0.0,NY
"""3601088""","""Alden""",2.0,2587.0,1190.0,1.0,NY
"""3601154""","""Alexander""",0.03,48.52,17.63,0.0,NY
"""3601187""","""Alexandria Bay""",0.1,54.92,27.16,0.0,NY
"""3601198""","""Alfred""",0.06,130.65,21.23,0.6,NY
"""3601286""","""Allegany""",0.44,630.66,193.81,0.0,NY
"""3601440""","""Almond""",0.04,42.99,17.48,0.7,NY
"""3601517""","""Altamont""",1.0,1742.0,693.0,1.6,NY
"""3601550""","""Altmar""",0.1,105.67,39.63,0.0,NY
"""3601572""","""Altona""",0.19,199.64,47.28,0.0,NY
"""3601594""","""Amagansett""",2.0,817.0,352.0,3.4,NY
"""3601682""","""Amenia""",0.11,145.21,53.1,2.0,NY
"""3601737""","""Ames""",0.01,4.54,1.61,0.0,NY
"""3602044""","""Amityville""",6.93,9519.25,3340.73,6.0,NY
"""3602066""","""Amsterdam""",15.0,17974.0,7173.0,0.8,NY
"""3602121""","""Andes""",0.04,23.27,11.85,0.0,NY
"""3602143""","""Andover""",0.04,40.82,16.94,0.0,NY
"""3602176""","""Angelica""",0.06,67.32,28.32,0.0,NY
"""3602198""","""Angola""",1.0,2002.0,815.0,1.8,NY
"""3602220""","""Angola on the Lake""",1.18,1617.75,719.27,1.5,NY
"""3602286""","""Antwerp""",0.03,28.25,10.47,0.0,NY
"""3602308""","""Apalachin""",1.0,1255.0,500.0,0.0,NY
"""3602374""","""Aquebogue""",2.0,1635.0,749.0,1.6,NY
"""3602407""","""Arcade""",0.75,899.52,419.65,0.0,NY
"""3602506""","""Ardsley""",3.0,4557.0,1619.0,7.5,NY
"""3602550""","""Argyle""",0.02,29.55,11.25,0.0,NY
"""3602583""","""Arkport""",0.07,87.33,42.71,0.5,NY
"""3602616""","""Arlington""",3.12,3153.2,1224.65,4.2,NY
"""3602649""","""Armonk""",2.12,3585.47,1160.43,1.7,NY
"""3602737""","""Asharoken""",0.98,456.8,180.16,0.0,NY
"""3602902""","""Athens""",1.51,1423.05,550.95,1.1,NY
"""3602968""","""Atlantic Beach""",1.35,1137.86,481.69,4.9,NY
"""3603001""","""Attica""",1.17,1071.64,422.77,0.0,NY
"""3603078""","""Auburn""",29.0,26962.0,11572.0,4.2,NY
"""3603188""","""Aurora""",0.05,44.03,15.2,0.2,NY
"""3603254""","""Au Sable Forks""",0.62,294.97,125.53,0.0,NY
"""3603320""","""Averill Park""",1.05,1307.92,555.1,0.0,NY
"""3603331""","""Avoca""",0.08,81.73,34.42,0.2,NY
"""3603353""","""Avon""",1.73,2924.1,1157.04,1.2,NY
"""3603408""","""Babylon""",11.0,12177.0,4289.0,6.7,NY
"""3604033""","""Bainbridge""",0.1,147.69,61.15,0.0,NY
"""3604055""","""Baiting Hollow""",1.0,1637.0,641.0,0.0,NY
"""3604143""","""Baldwin""",20.0,25214.0,7908.0,6.7,NY
"""3604154""","""Baldwin Harbor""",7.0,7335.0,2436.0,2.6,NY
"""3604198""","""Baldwinsville""",2.82,5052.19,2102.93,2.0,NY
"""3604253""","""Ballston Spa""",2.81,5155.95,2177.83,4.5,NY
"""3604286""","""Balmville""",2.7,2843.13,1126.82,0.9,NY
"""3604396""","""Bardonia""",2.64,4279.32,1499.67,3.7,NY
"""3604440""","""Barker""",1.0,754.0,237.0,0.0,NY
"""3604528""","""Barneveld""",0.01,15.05,6.47,0.0,NY
"""3604550""","""Barnum Island""",2.0,2447.0,938.0,7.2,NY
"""3604715""","""Batavia""",17.0,14868.0,6079.0,0.0,NY
"""3604759""","""Bath""",4.45,4264.24,1951.81,2.7,NY
"""3604803""","""Baxter Estates""",1.0,1016.75,396.51,7.9,NY
"""3604891""","""Bay Park""",2.0,1650.0,644.0,3.9,NY
"""3604913""","""Bayport""",7.0,8181.0,3135.0,3.8,NY
"""3604935""","""Bay Shore""",19.0,30392.0,9070.0,6.2,NY
"""3605034""","""Bayville""",3.71,6411.88,2351.68,0.0,NY
"""3605039""","""Baywood""",4.0,7360.0,2251.0,5.5,NY
"""3605100""","""Beacon""",14.49,14172.77,5112.34,4.8,NY
"""3605188""","""Beaver Dam Lake""",1.06,1045.52,373.19,0.8,NY
"""3605309""","""Bedford""",1.23,1724.44,577.8,0.0,NY
"""3605342""","""Bedford Hills""",1.91,2717.73,1050.68,7.4,NY
"""3605562""","""Belfast""",0.05,63.31,24.27,0.0,NY
"""3605639""","""Bellerose""",1.61,1732.27,513.75,8.9,NY
"""3605661""","""Bellerose Terrace""",1.39,1660.73,461.25,8.9,NY
"""3605672""","""Belle Terre""",0.84,572.76,216.79,1.5,NY
"""3605683""","""Belleville""",0.01,11.31,4.39,0.0,NY
"""3605738""","""Bellmore""",13.0,15767.0,5489.0,5.9,NY
"""3605771""","""Bellport""",2.0,2050.0,853.0,4.5,NY
"""3605815""","""Belmont""",0.24,225.69,85.06,0.5,NY
"""3605848""","""Bemus Point""",0.17,174.5,81.85,0.7,NY
"""3606046""","""Bergen""",0.51,630.77,235.49,0.0,NY
"""3606387""","""Bethpage""",14.0,17016.0,5815.0,5.1,NY
"""3606464""","""Big Flats""",3.3,4589.2,1872.05,0.2,NY
"""3606574""","""Billington Heights""",1.45,1494.17,641.55,1.0,NY
"""3606607""","""Binghamton""",61.0,45964.0,19974.0,5.2,NY
"""3606644""","""Binghamton University""",0.46,2543.73,136.79,5.0,NY
"""3606794""","""Black River""",0.96,1040.77,383.56,0.0,NY
"""3606849""","""Blasdell""",3.0,2631.0,1179.0,4.2,NY
"""3606860""","""Blauvelt""",3.47,6003.51,1704.75,0.2,NY
"""3606904""","""Bliss""",0.44,415.9,163.33,0.0,NY
"""3606937""","""Blodgett Mills""",0.26,121.9,53.12,0.0,NY
"""3606945""","""Bloomfield""",0.13,162.96,61.8,0.0,NY
"""3606959""","""Bloomingburg""",0.35,308.23,99.49,1.3,NY
"""3607025""","""Bloomville""",0.04,29.59,11.57,0.0,NY
"""3607069""","""Blue Point""",3.0,4742.0,1609.0,5.0,NY
"""3607157""","""Bohemia""",6.0,9282.0,3379.0,4.0,NY
"""3607190""","""Bolivar""",0.15,128.05,50.08,0.0,NY
"""3607245""","""Bolton Landing""",0.05,33.57,13.5,0.0,NY
"""3607355""","""Boonville""",0.25,651.18,251.17,0.0,NY
"""3607960""","""Brasher Falls""",0.02,46.76,17.41,0.2,NY
"""3608004""","""Breesport""",0.3,131.95,60.62,0.0,NY
"""3608026""","""Brentwood""",28.0,63115.0,13572.0,5.7,NY
"""3608059""","""Brewerton""",1.1,3393.94,1297.9,1.9,NY
"""3608070""","""Brewster""",1.0,2360.0,859.0,7.8,NY
"""3608092""","""Brewster Hill""",2.0,1618.0,617.0,1.7,NY
"""3608103""","""Briarcliff Manor""",5.0,7864.0,2662.0,6.0,NY
"""3608136""","""Bridgehampton""",3.47,1985.02,811.36,2.3,NY
"""3608147""","""Bridgeport""",0.2,256.51,102.0,0.0,NY
"""3608169""","""Bridgewater""",0.04,57.35,22.03,0.0,NY
"""3608257""","""Brighton""",33.0,36753.0,15728.0,4.7,NY
"""3608323""","""Brightwaters""",3.0,3096.0,1116.0,6.1,NY
"""3608334""","""Brinckerhoff""",2.1,2087.92,755.53,0.0,NY
"""3608422""","""Broadalbin""",1.04,1351.44,561.49,0.0,NY
"""3608466""","""Brockport""",5.35,6661.13,2071.17,1.9,NY
"""3608488""","""Brocton""",0.16,340.16,108.17,0.8,NY
"""3608532""","""Bronxville""",6.0,6428.0,2196.0,8.7,NY
"""3609000""","""Brookhaven""",3.0,3523.0,1088.0,3.0,NY
"""3610132""","""Brookville""",1.5,2888.67,609.99,3.1,NY
"""3610231""","""Brownville""",0.1,123.18,46.55,0.0,NY
"""3610286""","""Brushton""",0.01,17.09,6.93,0.0,NY
"""3610341""","""Buchanan""",2.0,2255.0,751.0,4.9,NY
"""3611000""","""Buffalo""",287.0,259578.22,110637.13,7.8,NY
"""3611132""","""Burdett""",0.06,76.38,37.62,0.0,NY
"""3611154""","""Burke""",0.01,9.19,3.79,0.0,NY
"""3611440""","""Busti""",0.19,296.37,123.49,0.1,NY
"""3611550""","""Byersville""",0.01,21.68,9.04,0.6,NY
"""3611638""","""Cairo""",1.22,955.41,394.35,0.0,NY
"""3611671""","""Calcium""",0.46,1528.43,607.33,0.0,NY
"""3611704""","""Caledonia""",0.77,1064.11,476.72,0.7,NY
"""3611748""","""Callicoon""",0.02,21.38,9.35,0.0,NY
"""3611781""","""Calverton""",5.7,6515.3,3224.26,2.6,NY
"""3611825""","""Cambridge""",0.77,988.05,477.65,0.0,NY
"""3611847""","""Camden""",1.01,2463.62,1027.32,0.0,NY
"""3611902""","""Camillus""",1.0,1156.7,523.88,4.1,NY
"""3611935""","""Campbell""",0.2,160.35,69.76,0.1,NY
"""3612111""","""Canajoharie""",0.13,186.89,74.32,0.0,NY
"""3612144""","""Canandaigua""",11.0,10402.0,4790.0,0.0,NY
"""3612177""","""Canaseraga""",0.04,54.23,19.73,0.3,NY
"""3612188""","""Canastota""",2.15,2960.16,1168.54,0.0,NY
"""3612210""","""Candor""",0.02,19.67,7.23,0.0,NY
"""3612254""","""Canisteo""",1.9,1392.67,580.3,1.8,NY
"""3612331""","""Canton""",2.56,2280.45,669.03,1.7,NY
"""3612353""","""Cape Vincent""",0.04,28.57,12.65,0.0,NY
"""3612419""","""Carle Place""",5.0,4918.0,1788.0,8.1,NY
"""3612532""","""Carmel Hamlet""",4.0,6392.0,2274.0,1.0,NY
"""3612584""","""Caroga Lake""",0.17,72.24,32.88,0.0,NY
"""3612683""","""Carthage""",1.3,1449.8,503.39,0.0,NY
"""3612749""","""Cassadaga""",0.07,70.23,31.88,0.9,NY
"""3612771""","""Castile""",0.26,199.52,77.29,0.0,NY
"""3612870""","""Castleton-on-Hudson""",0.9,1221.45,474.1,0.0,NY
"""3612881""","""Castorland""",0.01,16.36,6.52,0.0,NY
"""3612958""","""Cato""",0.06,67.25,25.42,0.0,NY
"""3613002""","""Catskill""",2.35,2578.48,957.31,0.0,NY
"""3613024""","""Cattaraugus""",0.29,267.71,116.1,0.0,NY
"""3613068""","""Cayuga""",0.11,71.25,28.11,0.0,NY
"""3613079""","""Cayuga Heights""",2.76,4241.24,1762.99,5.8,NY
"""3613145""","""Cazenovia""",1.07,1769.97,630.66,0.0,NY
"""3613233""","""Cedarhurst""",5.0,6685.0,1931.0,8.3,NY
"""3613288""","""Celoron""",1.43,1151.49,500.94,2.0,NY
"""3613376""","""Centereach""",16.0,31955.61,9677.79,3.4,NY
"""3613420""","""Center Moriches""",6.0,8743.0,2769.0,2.1,NY
"""3613442""","""Centerport""",3.0,5380.0,1967.0,1.7,NY
"""3613530""","""Central Bridge""",0.13,139.11,55.51,0.0,NY
"""3613552""","""Central Islip""",19.0,33253.0,9260.0,5.6,NY
"""3613585""","""Central Square""",1.51,1981.49,874.91,1.8,NY
"""3613618""","""Centre Island""",0.99,516.3,198.05,0.8,NY
"""3613662""","""Chadwicks""",0.33,822.61,342.49,2.0,NY
"""3613739""","""Champlain""",0.26,204.45,85.29,0.1,NY
"""3613805""","""Chappaqua""",0.78,1059.37,365.23,7.7,NY
"""3613981""","""Chateaugay""",0.04,35.06,15.01,0.0,NY
"""3614003""","""Chatham""",0.34,281.2,117.47,0.0,NY
"""3614036""","""Chaumont""",0.03,49.33,19.45,0.0,NY
"""3614058""","""Chautauqua""",0.77,389.89,116.04,1.4,NY
"""3614102""","""Chazy""",0.22,149.58,55.48,0.0,NY
"""3615000""","""Cheektowaga""",65.0,74593.71,33570.53,4.7,NY
"""3615121""","""Chenango Bridge""",2.83,2747.86,1070.73,2.9,NY
"""3615187""","""Cherry Creek""",0.04,40.35,14.35,0.3,NY
"""3615242""","""Cherry Valley""",0.01,16.33,6.25,0.0,NY
"""3615297""","""Chester""",1.51,1948.71,725.53,1.9,NY
"""3615363""","""Chestertown""",0.24,147.21,76.94,0.0,NY
"""3615400""","""Chestnut Ridge""",6.03,8603.8,2525.41,0.5,NY
"""3615561""","""Chittenango""",1.66,2633.49,969.05,0.0,NY
"""3615638""","""Churchville""",0.16,242.6,97.55,0.0,NY
"""3615814""","""Clarence""",1.86,2670.65,1030.54,0.0,NY
"""3615836""","""Clarence Center""",2.0,2671.0,874.0,0.0,NY
"""3615902""","""Clark Mills""",1.07,1456.52,762.96,0.2,NY
"""3615946""","""Clarkson""",2.24,3748.72,1338.17,0.7,NY
"""3616050""","""Claverack-Red Mills""",0.36,345.0,155.56,0.0,NY
"""3616089""","""Clayton""",0.14,205.48,92.06,0.0,NY
"""3616111""","""Clayville""",0.09,160.67,60.48,0.2,NY
"""3616188""","""Cleveland""",1.0,683.0,278.0,0.0,NY
"""3616375""","""Clifton Springs""",0.9,1015.77,403.48,0.0,NY
"""3616419""","""Clinton""",0.84,791.94,341.63,2.4,NY
"""3616452""","""Clintondale""",0.92,1369.83,549.03,0.2,NY
"""3616573""","""Clyde""",2.0,1991.0,675.0,0.0,NY
"""3616628""","""Cobleskill""",3.19,3882.91,1245.83,0.0,NY
"""3616727""","""Cohocton""",0.45,337.78,114.55,0.0,NY
"""3616749""","""Cohoes""",16.0,16574.0,7456.0,5.3,NY
"""3616815""","""Cold Brook""",0.03,42.15,14.72,0.0,NY
"""3616936""","""Cold Spring""",1.0,1834.0,843.0,6.4,NY
"""3616958""","""Cold Spring Harbor""",4.0,5088.0,1688.0,3.2,NY
"""3617332""","""Colonie""",5.0,7856.0,3080.0,6.8,NY
"""3617398""","""Colton""",0.05,69.3,31.05,0.0,NY
"""3617530""","""Commack""",22.0,37117.0,12065.0,3.4,NY
"""3617620""","""Conesus Hamlet""",0.06,72.43,30.78,0.4,NY
"""3617622""","""Conesus Lake""",0.54,805.99,343.91,0.6,NY
"""3617739""","""Congers""",6.1,7969.08,2628.19,2.4,NY
"""3617882""","""Constableville""",0.03,29.18,11.05,0.0,NY
"""3617893""","""Constantia""",0.42,532.05,257.45,0.0,NY
"""3618036""","""Coopers Plains""",0.37,253.24,123.86,1.9,NY
"""3618047""","""Cooperstown""",1.16,1359.64,627.21,0.0,NY
"""3618113""","""Copake Falls""",0.01,14.99,5.46,0.0,NY
"""3618118""","""Copake Hamlet""",0.13,125.8,52.79,0.0,NY
"""3618124""","""Copake Lake""",0.5,588.12,220.31,0.0,NY
"""3618135""","""Copenhagen""",0.02,42.28,16.51,0.0,NY
"""3618146""","""Copiague""",13.0,22926.0,7113.0,5.5,NY
"""3618157""","""Coram""",22.0,40713.0,14600.0,2.9,NY
"""3618201""","""Corfu""",0.08,128.96,60.12,0.0,NY
"""3618212""","""Corinth""",2.0,2651.0,1004.0,0.0,NY
"""3618256""","""Corning""",9.0,10870.0,5178.0,2.8,NY
"""3618333""","""Cornwall-on-Hudson""",1.97,1954.29,755.56,0.3,NY
"""3618388""","""Cortland""",18.0,18914.0,6712.0,0.0,NY
"""3618443""","""Cortland West""",1.2,1069.23,429.4,0.0,NY
"""3618542""","""Country Knolls""",0.47,993.31,362.36,0.0,NY
"""3618597""","""Cove Neck""",0.43,516.14,165.29,0.1,NY
"""3618718""","""Coxsackie""",2.03,1919.85,768.8,0.0,NY
"""3618762""","""Cragsmoor""",0.52,226.17,108.37,0.6,NY
"""3618817""","""Cranberry Lake""",0.14,68.75,28.79,0.2,NY
"""3619070""","""Croghan""",0.01,23.13,8.69,0.0,NY
"""3619092""","""Crompond""",1.0,2333.0,806.0,2.7,NY
