place,name,blkgrps,population,households,alltransit_performance_score,state
"""4200100""","""Aaronsburg""",0.02,22.92,8.48,0.0,PA
"""4200104""","""Aaronsburg""",0.79,502.31,209.62,0.0,PA
"""4200116""","""Abbottstown""",0.2,276.04,96.74,0.0,PA
"""4200244""","""Ackermanville""",0.24,571.42,198.55,0.1,PA
"""4200332""","""Adamsburg""",0.09,158.51,64.71,2.7,PA
"""4200364""","""Adamstown""",1.0,2200.8,783.93,0.0,PA
"""4200372""","""Adamsville""",0.01,12.48,4.51,0.0,PA
"""4200396""","""Addison""",0.01,10.65,4.82,0.0,PA
"""4200540""","""Akron""",3.99,3968.62,1617.27,2.6,PA
"""4200572""","""Alba""",0.04,46.31,16.55,0.5,PA
"""4200628""","""Albion""",2.0,1534.0,664.0,0.7,PA
"""4200652""","""Albrightsville""",0.03,35.19,15.42,0.0,PA
"""4200660""","""Alburtis""",1.0,2495.0,932.0,0.0,PA
"""4200676""","""Aldan""",4.0,4162.0,1736.0,8.4,PA
"""4200756""","""Alexandria""",0.01,13.73,5.47,0.0,PA
"""4200764""","""Alfarata""",0.04,61.51,24.3,0.0,PA
"""4200820""","""Aliquippa""",10.0,9173.0,4324.0,3.3,PA
"""4200924""","""Alleghenyville""",0.3,698.81,260.11,0.0,PA
"""4200980""","""Allenport""",0.14,147.57,60.63,0.0,PA
"""4200988""","""Allenport""",0.94,611.32,273.61,2.6,PA
"""4201004""","""Allensville""",0.08,146.23,43.74,0.0,PA
"""4202000""","""Allentown""",86.0,120125.01,41933.93,6.0,PA
"""4202016""","""Allenwood""",0.05,65.73,21.86,0.0,PA
"""4202040""","""Allison""",0.15,170.88,76.15,1.3,PA
"""4202056""","""Allison Park""",11.84,20550.79,8116.09,1.8,PA
"""4202072""","""Allport""",0.08,106.06,39.87,0.0,PA
"""4202088""","""Almedia""",0.39,709.81,334.1,0.0,PA
"""4202128""","""Alsace Manor""",0.21,196.29,71.96,0.0,PA
"""4202144""","""Altamont""",0.96,494.77,241.3,2.5,PA
"""4202184""","""Altoona""",47.34,44213.52,18615.34,0.5,PA
"""4202264""","""Ambler""",6.0,6525.0,2650.0,6.6,PA
"""4202288""","""Ambridge""",6.0,6853.0,3106.0,5.8,PA
"""4202349""","""Amity Gardens""",2.06,3134.16,1116.75,0.0,PA
"""4202416""","""Ancient Oaks""",2.17,6931.31,2563.96,0.6,PA
"""4202608""","""Annville""",3.0,4881.0,1504.0,2.1,PA
