place,name,blkgrps,population,households,alltransit_performance_score,state
"""4403520""","""Ashaway""",0.98,837.11,353.63,0.8,RI
"""4408020""","""Bradford""",0.8,1178.06,373.28,0.0,RI
"""4412340""","""Carolina""",0.24,486.86,176.61,0.0,RI
"""4414140""","""Central Falls""",11.0,19395.0,6310.0,5.4,RI
"""4414320""","""Charlestown""",2.2,1046.87,506.98,0.0,RI
"""4414860""","""Chepachet""",0.93,1294.08,429.93,1.2,RI
"""4415940""","""Clayville""",0.13,159.01,61.82,0.0,RI
"""4419180""","""Cranston""",64.0,80979.0,30515.0,4.9,RI
"""4420260""","""Cumberland Hill""",3.98,7142.52,2798.42,0.2,RI
"""4422960""","""East Providence""",43.0,47425.0,19913.0,5.1,RI
"""4427640""","""Foster Center""",0.17,199.66,76.2,0.0,RI
"""4431240""","""Greene""",0.28,514.89,193.95,0.0,RI
"""4431600""","""Greenville""",5.0,8388.0,3264.0,1.7,RI
"""4433040""","""Harmony""",0.62,1135.7,427.51,1.4,RI
"""4433400""","""Harrisville""",1.01,1325.6,602.0,2.1,RI
"""4434660""","""Hope Valley""",0.58,1267.85,434.04,0.0,RI
"""4435200""","""Hopkinton""",0.24,405.62,189.6,0.6,RI
"""4438980""","""Kingston""",0.64,2506.32,412.45,3.9,RI
"""4445010""","""Melville""",3.51,1337.82,503.71,4.0,RI
"""4446000""","""Misquamicut""",1.69,397.8,208.11,0.0,RI
"""4448700""","""Narragansett Pier""",2.76,3610.58,1766.52,3.3,RI
"""4449960""","""Newport""",23.0,24745.0,10523.0,5.1,RI
"""4450140""","""Newport East""",6.81,11328.32,4958.52,4.2,RI
"""4454460""","""Pascoag""",3.35,4547.82,1542.2,1.3,RI
"""4454640""","""Pawtucket""",64.0,71770.0,27635.0,6.4,RI
"""4459000""","""Providence""",154.0,179509.0,62057.0,7.4,RI
"""4460260""","""Quonochontaug""",0.77,261.82,117.77,0.0,RI
"""4470700""","""Tiverton""",4.0,7727.0,3459.0,1.0,RI
"""4472500""","""Valley Falls""",9.1,11882.79,4616.31,2.7,RI
"""4473130""","""Wakefield-Peacedale""",5.51,8938.84,3382.36,3.0,RI
"""4474300""","""Warwick""",72.0,81218.0,34904.0,4.0,RI
"""4475200""","""Watch Hill""",0.42,143.74,57.92,0.0,RI
"""4475920""","""Weekapaug""",1.13,453.42,210.93,0.0,RI
"""4476820""","""Westerly""",12.0,17323.0,7664.0,1.5,RI
"""4480780""","""Woonsocket""",36.0,41508.0,17054.0,3.8,RI
"""4480960""","""Wyoming""",0.12,159.23,73.28,0.6,RI
