place,name,blkgrps,population,households,alltransit_performance_score,state
"""5500100""","""Abbotsford""",0.93,1015.3,418.34,0.0,WI
"""5500150""","""Abrams""",0.02,39.16,16.46,0.0,WI
"""5500275""","""Adams""",0.72,790.32,346.37,0.0,WI
"""5500450""","""Adell""",0.04,38.83,16.22,0.0,WI
"""5500750""","""Albany""",0.34,428.02,183.96,0.0,WI
"""5501000""","""Algoma""",2.28,2518.55,1103.34,0.0,WI
"""5501100""","""Allenton""",0.34,401.86,151.25,0.0,WI
"""5501150""","""Allouez""",13.0,13898.0,5366.0,4.0,WI
"""5501225""","""Alma""",0.34,199.08,103.44,0.0,WI
"""5501300""","""Alma Center""",0.03,27.49,11.78,0.0,WI
"""5501325""","""Almena""",0.04,43.81,18.06,0.0,WI
"""5501400""","""Almond""",0.04,50.08,18.22,0.0,WI
"""5501550""","""Altoona""",3.98,6284.69,2500.32,2.1,WI
"""5501650""","""Amberg""",0.04,24.51,12.37,0.0,WI
"""5501725""","""Amery""",0.87,1088.64,472.4,0.0,WI
"""5501750""","""Amherst""",0.08,105.16,41.66,0.0,WI
"""5501800""","""Amherst Junction""",0.09,96.45,35.28,0.0,WI
"""5501950""","""Angelica""",0.05,69.59,25.74,0.0,WI
"""5502075""","""Aniwa""",0.04,50.47,19.71,0.0,WI
"""5502250""","""Antigo""",5.91,5336.6,2553.96,0.0,WI
"""5502375""","""Appleton""",64.88,72991.44,28907.68,3.9,WI
"""5502500""","""Arcadia""",0.5,589.31,215.49,0.0,WI
"""5502550""","""Arena""",0.03,52.84,21.22,0.0,WI
"""5502600""","""Argonne""",0.0,1.81,0.84,0.0,WI
"""5502650""","""Argyle""",0.03,33.77,13.96,0.0,WI
"""5502700""","""Arkansaw""",0.02,20.95,8.58,0.0,WI
"""5502725""","""Arkdale""",0.04,47.31,22.88,0.0,WI
"""5502800""","""Arlington""",0.04,52.47,19.62,0.0,WI
"""5503025""","""Arpin""",0.05,47.63,15.7,0.0,WI
"""5503175""","""Ashippun""",0.04,76.12,28.62,0.0,WI
"""5503225""","""Ashland""",7.89,7922.67,3388.02,2.0,WI
"""5503425""","""Ashwaubenon""",10.55,16310.02,7192.13,2.7,WI
"""5503550""","""Athens""",0.33,382.65,162.62,0.0,WI
"""5503775""","""Auburndale""",0.08,75.73,30.04,0.0,WI
"""5503825""","""Augusta""",0.08,131.08,45.45,0.0,WI
"""5504025""","""Avoca""",0.04,47.9,19.48,0.0,WI
"""5504150""","""Babcock""",0.02,15.35,6.84,0.0,WI
"""5504250""","""Bagley""",0.01,11.24,4.48,0.0,WI
"""5504300""","""Baileys Harbor""",0.05,59.9,31.0,0.0,WI
"""5504400""","""Baldwin""",1.2,2168.34,921.59,0.0,WI
"""5504475""","""Balsam Lake""",0.15,159.65,67.75,0.0,WI
"""5504525""","""Bancroft""",0.14,184.15,69.26,0.0,WI
"""5504550""","""Bangor""",0.91,1133.51,477.58,0.0,WI
"""5504625""","""Baraboo""",4.08,6718.18,2832.84,0.0,WI
"""5504775""","""Barneveld""",0.04,76.4,28.53,0.0,WI
"""5504875""","""Barron""",0.71,874.6,314.84,0.0,WI
"""5504925""","""Barronett""",0.02,18.38,7.72,0.0,WI
"""5505325""","""Bay City""",0.03,48.17,20.05,0.2,WI
"""5505350""","""Bayfield""",0.22,162.53,88.48,1.1,WI
"""5505450""","""Bayside""",3.04,4481.62,1805.8,3.1,WI
"""5505575""","""Bear Creek""",0.03,34.25,13.09,0.0,WI
"""5505900""","""Beaver Dam""",12.9,15306.51,6243.83,0.0,WI
"""5506150""","""Belgium""",0.11,213.29,80.13,0.0,WI
"""5506225""","""Bell Center""",0.1,89.94,36.64,0.0,WI
"""5506300""","""Belleville""",0.09,217.7,91.19,0.0,WI
"""5506350""","""Bellevue""",7.14,15274.29,6447.56,1.3,WI
"""5506425""","""Belmont""",0.13,95.86,42.24,0.0,WI
"""5506500""","""Beloit""",24.03,33553.43,12553.11,3.2,WI
"""5506825""","""Benton""",0.1,76.46,34.4,0.0,WI
"""5506925""","""Berlin""",2.9,2804.53,1242.8,0.0,WI
"""5507200""","""Big Bend""",1.02,1155.55,464.67,1.0,WI
"""5507250""","""Big Falls""",0.0,7.74,3.01,0.0,WI
"""5507532""","""Birch Hill""",0.0,5.58,1.9,0.7,WI
"""5507550""","""Birchwood""",0.08,40.05,21.52,0.0,WI
"""5507600""","""Birnamwood""",0.09,117.22,44.77,0.0,WI
"""5507650""","""Biron""",1.36,1211.34,496.13,0.0,WI
"""5507725""","""Black Creek""",0.08,110.16,40.58,0.0,WI
"""5507800""","""Black Earth""",0.07,120.71,53.96,0.0,WI
"""5507900""","""Black River Falls""",1.79,1959.81,822.0,0.0,WI
"""5508075""","""Blair""",0.39,475.38,193.6,0.0,WI
"""5508125""","""Blanchardville""",0.02,17.41,7.47,0.0,WI
"""5508225""","""Bloomer""",0.93,1064.41,496.99,0.0,WI
"""5508265""","""Bloomfield""",4.26,4940.92,1729.73,0.0,WI
"""5508375""","""Bloomington""",0.1,87.73,37.1,0.0,WI
"""5508475""","""Blue Mounds""",0.02,35.01,13.76,0.0,WI
"""5508525""","""Blue River""",0.04,26.9,12.56,0.0,WI
"""5508560""","""Bluffview""",0.01,13.52,4.57,0.0,WI
"""5508600""","""Boaz""",0.0,5.57,2.43,0.0,WI
"""5508625""","""Bohners Lake""",2.07,1915.75,784.59,0.0,WI
"""5508725""","""Bonduel""",0.07,168.5,62.24,0.0,WI
"""5508850""","""Boscobel""",0.79,1027.92,390.5,0.0,WI
"""5508925""","""Boulder Junction""",0.01,10.54,5.44,0.0,WI
"""5509025""","""Bowler""",0.01,23.01,8.94,0.0,WI
"""5509050""","""Boyceville""",0.18,222.45,100.11,0.0,WI
"""5509075""","""Boyd""",0.1,245.52,37.32,0.0,WI
"""5509300""","""Brandon""",0.06,78.15,28.78,0.0,WI
"""5509465""","""Brice Prairie""",2.0,2045.0,751.0,0.0,WI
"""5509725""","""Brillion""",1.77,2018.08,737.92,0.0,WI
"""5509800""","""Bristol""",2.88,5830.22,2365.65,0.3,WI
"""5509925""","""Brodhead""",0.98,989.27,405.76,0.0,WI
"""5509975""","""Brokaw""",0.04,53.52,22.14,0.8,WI
"""5510025""","""Brookfield""",28.89,37180.19,14461.47,1.8,WI
"""5510075""","""Brooklyn""",0.04,75.65,29.16,0.0,WI
"""5510375""","""Brown Deer""",9.0,12076.0,5429.0,5.6,WI
"""5510425""","""Browns Lake""",1.43,2030.99,770.38,0.0,WI
"""5510450""","""Brownsville""",0.03,37.03,15.49,0.0,WI
"""5510475""","""Browntown""",0.02,23.23,9.28,0.0,WI
"""5510500""","""Bruce""",0.39,368.37,162.49,0.0,WI
"""5510550""","""Brule""",0.05,49.16,20.31,0.0,WI
"""5511062""","""Buffalo City""",0.1,175.99,77.72,0.0,WI
"""5511200""","""Burlington""",4.88,7913.83,3289.19,0.0,WI
"""5511250""","""Burnett""",0.01,6.89,2.83,0.0,WI
"""5511475""","""Butler""",2.0,1847.0,895.0,0.1,WI
"""5511500""","""Butte des Morts""",0.09,186.75,79.54,0.0,WI
"""5511525""","""Butternut""",0.01,7.41,3.23,0.0,WI
"""5511650""","""Cable""",0.01,7.54,3.83,0.0,WI
"""5511750""","""Cadott""",0.39,387.62,163.54,0.0,WI
"""5511950""","""Caledonia""",18.32,24960.45,9796.31,1.1,WI
"""5512200""","""Cambria""",0.18,160.43,57.16,0.0,WI
"""5512225""","""Cambridge""",0.16,242.04,103.32,0.0,WI
"""5512250""","""Cameron""",0.45,1030.15,409.87,0.0,WI
"""5512325""","""Campbellsport""",0.16,259.11,100.57,0.0,WI
"""5512350""","""Camp Douglas""",0.05,46.93,18.7,0.0,WI
"""5512400""","""Camp Lake""",1.51,2663.2,970.88,0.0,WI
"""5512675""","""Caroline""",0.04,38.27,13.44,0.0,WI
